 ; Tridenturl-status=dead   ; Geckotitle=Canvas tutorial – MDC ; WebKittitle=WebKit DOM reference – CanvasRenderingContext2D ; Prestourl-status=dead url-status=dead  
 The canvas state ; The canvas state ; The canvas state ; The canvas state ; The canvas state 
 save ; 5.0 ; 1.8 ; rowspan="2" yes ; 2.0 
 restore ; 5.0 ; 1.8 ; 2.0 
 Transformations ; Transformations ; Transformations ; Transformations ; Transformations 
 scale ; 5.0 ; 1.8 ; rowspan="5" yes ; 2.0 
 rotate ; 5.0 ; 1.8 ; 2.0 
 translate ; 5.0 ; 1.8 ; 2.0 
 transform ; 5.0 ; 1.8 ; 2.6Opera 9.5(Presto 2.1) support table claims support for this, but support tables for Presto 2.1.1 up to 2.5 indicate that this property is not supported.url-status=dead url-status=dead url-status=dead 
 setTransform ; 5.0 ; 1.8 ; 2.6 
 Compositing ; Compositing ; Compositing ; Compositing ; Compositing 
 globalAlpha ; 5.0 ; 1.8 ; rowspan="2" yes ; 2.0 
 globalCompositeOperation ; 5.0 ; 1.8 ; 2.0 
 Colors and styles ; Colors and styles ; Colors and styles ; Colors and styles ; Colors and styles 
 strokeStyle ; 5.0 ; 1.8 ; rowspan="5" yes ; 2.0 
 fillStyle ; 5.0 ; 1.8 ; 2.0 
 createLinearGradient ; 5.0 ; 1.8 ; 2.0 
 createRadialGradient ; 5.0 ; 1.8 ; 2.0 
 createPattern ; 5.0 ; 1.8 ; 2.0 
 Line styles ; Line styles ; Line styles ; Line styles ; Line styles 
 lineWidth ; 5.0 ; 1.8 ; rowspan="4" yes ; 2.0 
 lineCap ; 5.0 ; 1.8 ; 2.0 
 lineJoin ; 5.0 ; 1.8 ; 2.0 
 miterLimit ; 5.0 ; 1.8 ; 2.0 
 Shadows ; Shadows ; Shadows ; Shadows ; Shadows 
 shadowOffsetX ; 5.0 ; 1.9.1publisher=Mozilla ; rowspan="4" yes ; 2.4Prior to version 2.4, Presto only had partial support for this property.  
 shadowOffsetY ; 5.0 ; 1.9.1publisher=Mozilla ; 2.4Prior to version 2.4, Presto only had partial support for this property.  
 shadowBlur ; 5.0 ; 1.9.1publisher=Mozilla ; 2.4Prior to version 2.4, Presto only had partial support for this property.  
 shadowColor ; 5.0 ; 1.9.1publisher=Mozilla ; 2.4Prior to version 2.4, Presto only had partial support for this property.  
 Simple shapes ; Simple shapes ; Simple shapes ; Simple shapes ; Simple shapes 
 clearRect ; 5.0 ; 1.8 ; rowspan="3" yes ; 2.0 
 fillRect ; 5.0 ; 1.8 ; 2.0 
 strokeRect ; 5.0 ; 1.8 ; 2.0 
 Complex shapes ; Complex shapes ; Complex shapes ; Complex shapes ; Complex shapes 
 beginPath ; 5.0 ; 1.8 ; rowspan="13" yes ; 2.0 
 closePath ; 5.0 ; 1.8 ; 2.0 
 moveTo ; 5.0 ; 1.8 ; 2.0 
 lineTo ; 5.0 ; 1.8 ; 2.0 
 quadraticCurveTo ; 5.0 ; 1.8.1Incorrect in Gecko 1.8 ; 2.0 
 bezierCurveTo ; 5.0 ; 1.8 ; 2.0 
 arcTo ; 5.0 ; 1.8.1publisher=Mozilla ; 2.0 
 rect ; 5.0 ; 1.8 ; 2.0 
 arc ; 5.0 ; 1.8 ; 2.0 
 fill ; 5.0 ; 1.8 ; 2.0 
 stroke ; 5.0 ; 1.8 ; 2.0 
 clip ; 5.0 ; 1.8 ; 2.0 
 isPointInPath ; 5.0 ; 1.8 ; 2.0 
 Focus management ; Focus management ; Focus management ; Focus management ; Focus management 
 drawFocusRing ; no ; 28.0publisher=Mozilla ; no ; no 
 Text ; Text ; Text ; Text ; Text 
 font ; 5.0 ; 1.9.1group=note ; rowspan="6" yes ; no 
 textAlign ; 5.0 ; 1.9.1group=note ; 2.6 
 textBaseline ; 5.0 ; 1.9.1group=note ; 2.6 
 fillText ; 5.0 ; 1.9.1group=note ; 2.6 
 strokeText ; 5.0 ; 1.9.1group=note ; 2.6 
 measureText ; 5.0 ; 1.9.1group=note ; 2.6 
 Images ; Images ; Images ; Images ; Images 
 drawImage ; 5.0 ; 1.8 ; rowspan="4" yes ; 2.0 
 createImageData ; 5.0 ; 1.9.1publisher=Mozillatitle=Pixel manipulation with canvas – MDC ; 2.7url-status=dead  
 getImageData ; 5.0 ; 1.9 ; 2.6 
 putImageData ; 5.0 ; 2.0publisher=Mozilla ; 2.6 
