 00000 ; Server OS support ; Server OS support ; Server OS support ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Storage ; Storage ; Users 
Mail server ; Linux/ Unix ;Windows ;Mac OS ; SMTP ; POP3 ; IMAP ; JMAP ; IMAP IDLE ; SMTP over TLS ;POP over TLS ;IPv6 ;SSL ; DANE ; Webmail ; ActiveSync ; Sieve ; Database ; Filesystem ; Other ; IDN/UTF8 ; License 
rh| NetMail ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; dunno ; yes ; yes ; dunno ; yes ; dunno ; yes ; no ; dunno ; yes ; no ; no ; Dunno ; Proprietary 
rh| OpenSMTPD ; yes ; no ; yes ; yes ; no ; no ; dunno ; no ; yes ; no ; yes ; yes ; noABOUTSELF=y ; no ; no ; dunno ; possible through custom backends ; yes ; no ; no ; ISC 
rh| Open-Xchange ; yes ; no ; no ; yes ; yes ; yes ; dunno ; dunno ; yes ; yes ; dunno ; yes ; dunno ; yes ; yes ; dunno ; yes ; no ; no ; Dunno ; Proprietary/SaaS, with open-source parts 
rh| Oracle Communications Messaging Server ; yes ; no ; no ; yes ; yes ; yes ; dunno ; dunno ; yes ; yes ; dunno ; yes ; dunno ; yes ; no ; dunno ; yes ; yes ; no ; yes ; Proprietary 
rh| Postfix ; yes ; no ; yes ; yes ; Dovecot, UW IMAP ; Dovecot, UW IMAP ; dunno ; Dovecot, UW IMAP ; yes ; no ; Yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes ; yes ; IBM Public License 
rh| qmail ; yes ; no ; yes ; yes ; yes ; Dovecot, UW IMAP ; dunno ; Dovecot, UW IMAP ; no ; Dovecot, UW IMAP ; via Qsmtp ; no ; no ; no ; no ; dunno ; (cdb) ; yes ; no ; Dunno ; Public domain 
rh| Qpopper ; yes ; yes (via Cygwin) ; yes ; no ; yes ; no ; dunno ; no ; no ; yes ; dunno ; yes ; dunno ; no ; no ; dunno ; no ; yes ; yes ; Dunno ; BSD-style, GPL-incompatibleContains jurisdiction selection and IBM Public License-style indemnification clause. 
rh| Scalix ; yes ; dunno ; dunno ; yes ; yes ; yes ; dunno ; yes ; yes (via Stunnel) ; yes (via Stunnel) ; dunno ; yes (via Stunnel) ; dunno ; yes ; yes ; dunno ; yes ; yes ; no ; Dunno ; Proprietary with OSS parts, a community (Freeware) and 3 paid editions (SMB, Enterprise, Hosting) 
rh| Sendmail ; yes ; no ; yes ; yes ; Dovecot, UW IMAP ; Dovecot, UW IMAP ; dunno ; Dovecot, UW IMAP ; yes ; no ; yes ; yes ; dunno ; no ; no ; no ; Dunno ; yes ; dunno ; yes ; Sendmail License 
rh| SparkEngine ; yes ; yes ; yes ; yes ; no ; no ; dunno ; no ; yes ; no ; Dunno ; yes ; dunno ; no ; no ; dunno ; yes ; yes ; yes ; Dunno ; Proprietary 
rh| UW IMAP ; yes ; yes ; yes ; no ; yes ; yes ; dunno ; yes ; no ; yes ; yes ; yes ; no ; WebPine ; no ; no ; yes (Indexes) ; yes ; no ; Dunno ; Apache License 2.0 
rh| WinGate ; no ; yes ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; no ; yes ; dunno ; yes ; no ; dunno ; no ; yes ; no ; Dunno ; Proprietary 
rh| Zarafa ; yes ; no ; no ; External ; yes ; yes ; dunno ; yes ; External ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; no ; Dunno ; AGPLv3, paid 
rh| Zentyal ; yes ; no ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; no ; yes ; dunno ; yes ; yes ; dunno ; yes ; yes ; no ; Dunno ; GPLv2{{cite web|url= Linux Small Business Server|website=www.zentyal.org|access-date=2015-10-15|archive-url= 
rh| Zimbra ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; ZPL and proprietary editions 
Mail server ; Linux/ Unix ;Windows ;Mac OS ; SMTP ; POP3 ; IMAP ; JMAP ; IMAP IDLE ; SMTP over TLS ;POP over TLS ;IPv6 ;SSL ; DANE ; Webmail ; ActiveSync ; Sieve ; Database ; Filesystem ; Other ; IDN/UTF8 ; License 
