Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Volcanoes of the World ;Volcanic eruption data for all known volcanic events on earth. ;Details such as region, subregion, tectonic setting, dominant rock type are given. ;1535 ;Text ;Regression, classification ;2013 ;Siebert, Lee, and Tom Simkin. "Volcanoes of the world: an illustrated catalog of Holocene volcanoes and their eruptions." (2014). ;E. Venzke et al. 
Seismic-bumps Dataset ;Seismic activities from a coal mine. ;Seismic activity was classified as hazardous or not. ;2584 ;Text ;Classification ;2013 ; pages = 91–114 Sikora, Marek, and Beata Sikora. "Rough natural hazards monitoring." Rough Sets: Selected Methods and Applications in Management and Engineering. Springer London, 2012. 163–179. ;M. Sikora et al. 
