 DVR ; Subscription free electronic program guide (EPG) ; Power management ; Multiple TV tuner card support ; CableCARD support ; CAM support ; ATSC tuner support ; Automated commercial skipping ; Teletext ; Schedule timed recordings ; Personalized intelligent recording and schedulingA system similar to TiVo's which enables the DVR/PVR application to record programs based on past viewing habits and interests. ; DRM support ; DVB (T/T2, S/S2, C) tuner support ; Smartphone/tablet playback ; Smartphone/tablet syncing ; Smartphone/tablet remote control 
 Rh| Beyond TV ; Yes ; YesTo take advantage of operating system power management with Beyond TV, the main user interface must be closed. ; Yes ; No ; Dunno ; Yes ; Yes ; No ; Yes ; Yes ; No ; No ; Dunno ; Dunno ; Dunno 
 Rh| EyeTV ; {{Partial|DVB, other guide info varies by region{{#tag:ref|Elgato's contract with TitanTV for the US market expired in 2010. When it expired, TV Guide became the sole EPG provider for EyeTV in the United States. There, one year of TV Guide EPG service costs $19.95. ; Yes ; Yes ; No ; Dunno ; Yes ; yes2External add-on ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno 
 Rh| WinTV ; Yes ; Yes ; Yes ; LimitedSupport is limited to content broadcast as 'copy freely' (DRM Free) ; Dunno ; Yes ; No ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; Dunno ; Dunno 
 Rh| Kodi (formerly XBMC) ; yes ; yes ; External add-on ; External add-on ; External add-on ; External add-on ; yes ; External add-on ; External add-on ; External add-on ; External add-on ; External add-on ; Using Plugin ; Using Plugin ; Using Apps 
 Rh| NextPVR ; YesNatively supports broadcast EPG. Able to use alternative EPG, like XMLTV and Schedules Direct in countries that don't provide a decent broadcast EPG. ; Yes ; Yes ; PartialSupport is limited to content broadcast as 'copy freely' (DRM Free) ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; unk ; Yes ; Yes ; Dunno ; Dunno 
 Rh| MediaPortal ; DVBname="OTA"/XMLTVSupports XMLTV programme data which is provided by various sources for various costs depending on territory. For example, the (supported) 14-day Radio Times feed for the UK is free of charge. ; Yes ; Yes ; Partial{{#tag:ref|Version 1.5.0 or higher required - only 'Copy Freely' support - No Encrypted 'Copy Once' support ; Supported on some specific cards ; Yes ; yes2Using Plugin ; Yes ; Yes ; Yes ; Partial support ; Yes ; Yesname="aMPDriodDesc" ; Dunno ; yes 
 Rh| MediaPhoenix/ShowShifter ; DVB ; unk ; Yes ; No ; Dunno ; unk ; No ; No ; Yes ; Yes ; unk ; Yes ; No ; No ; No 
 Rh| MythTV ; DVB, other services region dependentgroup="f" ; Yes ; Yes ; LimitedSupport is limited to content broadcast as 'copy freely' (DRM Free) ; YesSupports hardware-based CAMs supported by LinuxTV framework. ; Yes ; Yes ; Yes ; Yes ; Requires external add-onExternal third-party plug-in required, e.g. "tvwish", "MythMiner", not supported. ; No ; YesSupports any tuner card supported by LinuxTV framework. ; Yes{{#tag:ref|The official MythTV plugin MythWeb allows users to browse the programme guide, schedule recordings, manage media and playback video via a Flash-based player, which works on Android phones and tablets. ; No  ; Yes 
 Rh| SageTV ; Yes (with former purchased license) ; Yes ; Yes ; {{Partial|Partial Using PluginSupport is limited to content broadcast as 'copy freely' (DRM Free) - Smartphone and tablet control of the full range of Windows Media Center features is possible on iOS and Android. ; Dunno ; Yes ; Using Plugingroup="f" ; No ; Yes ; Yes ; No ; Dunno ; Dunno ; Dunno ; Dunno 
 Rh| Video Disk Recorder ; Yes ; Yes ; Yes ; No ; yes ; Yes ; No ; Using Plugin ; yes ; Using Plugin ; No ; Yes ; Using Plugin ; No ; Using Plugin 
 Rh| Windows Media Center ; Yes ; Yes ; Yesgroup="f" ; Yesgroup="f" ; Dunno ; Yes ; External add-onRequires an external plug-in such as "DVRMSToolbox", "Lifextender" or "MCEBuddy", not supported by Microsoft. ; Yes ; Yes ; Yesgroup="f" ; Yes, also respects "do not record" flag ; Supports DVB-T/T2 and DVB-S/S2, does not support DVB-CDVB-C is achievable using certain cards that are detected as DVB-T tuners. And also using addons such as DVBLink ; Yes ; Yes ; Yes 
 Rh| VBox@TV ; DVB Guide info varies by broadcaster and TV service provider ; No ; Yes ; No ; Yes ; Yes ; Dunno ; Yes ; Yes ; Yes ; Dunno ; Yes ; Yes ; Yes ; Yes 
