 Feature ; Android ; iOS ; Tizen ; Sailfish OS ; Ubuntu Touch 
Non-intrusive incoming calls ;5+Android 5.0 Lollipop: More Than Just Material Design  or 3rd party softwareOmniROM | New Features for OmniROM – OmniROM ;14+iOS 14: How the compact call interface works on iPhone ;No;NoNon-intrusive call feature ;? 
Non-intrusive notifications ;Yes;5+;?;?;? 
Move apps to external storage ;2.2+;External storage not allowed for apps;No;No;No 
Remote Frame Buffer (RFB) protocol ;Yes;3rd party softwareScreens VNC – Access Your Computer From Anywhere ;?;?;? 
Screencast on device ;No2 No,|=Android Issue 19374: recording of screen for screencast software options  3rd party software like LineageOS ScreenCast,CyanogenMod ScreenCast Screen Recorder Review & How to Install! ~ AndroidRootz.com | Source for Android Rooting, ROMS, Tricks and More!  AOKP or OmniROMScreen Recording Can Now Be Baked Into Custom Android ROMS (KitKat Only) ;9+New iOS 9 ReplayKit will screen record gameplay & app videos without need for Mac or third-party SDK pipe 9to5Mac ;No;No;Yes 
Screencast over USB ;4.4+ over USB, for prior versions root required for 3rd party appandroidscreencast – Desktop app to control an android device remotely – Google Project Hosting . Code.google.com. Retrieved on 2012-07-03.;8+: on OS XApple makes it easy for devs (and others) to screencast iOS apps with OS X Yosemite | 9to5Mac ;No;?;No 
Screen share	 ;On select devices using vendor's implementationAndroid Issue 78993: Screen Share ;3rd party softwareHow to screen share and remote control iPhone, iPad, Mac to help colleagues, friends, and family ;No;No;No 
