 Name ; Windows NT ; Windows Mobile (incl.Pocket PC) ; FreeBSD ; Linux ; Mac OS X ; NetBSD ; OpenBSD ; DragonFly BSD ; Android ; iOS 
Rh| Aloaha Crypt Disk ; yes ; no ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
Rh| BestCrypt Volume Encryption ; yes ; no ; no ; no ; yes ; no ; no ; no ; dunno ; dunno 
Rh| BitArmor DataControl ; yes ; no ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
Rh| BitLocker ; yes ; no ; no ; Partial FUSE driver to read/write Windows BitLocker-ed volumes under Linux / Mac OSX ; Partial ; no ; no ; no ; no ; dunno 
Rh| Bloombase Keyparc ; yes ; no ; no ; yes ; yes ; no ; no ; no ; dunno ; dunno 
Rh| Boxcryptor ; yes ; no ; no ; yes ; yes ; no ; no ; no ; yes ; yes 
Rh| CenterTools DriveLock ; yes ; no ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
Rh| CGD ; no ; no ; no ; no ; no ; yes ; no ; no ; dunno ; dunno 
Rh| Check Point Full Disk Encryption ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; dunno ; dunno 
Rh| CipherShed ; yes ; no ; no Although CipherShed can be built under FreeBSD, it is not recommended to run it because of bugs and instabilities when CipherShed is attempted to be used ; yes ; yes ; no ; no ; no ; yes Third party app allows to open containers encryptes with AES-256, SHA-512 hash and FAT file system ; dunno 
Rh| CrossCrypt ; yesCrossCrypt - Only for the Microsoft Windows XP/2000 operating systems ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
Rh| CryFS ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; dunno 
Rh| Cryhod ; yes ; no ; no ; yes ; no ; no ; no ; no ; dunno ; dunno 
Rh| Cryptainer ; yes ; Yes PocketPC freeware release- SmartPhone beta available ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
Rh| CryptArchiver ; yes ; no ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
Rh| Cryptic Disk ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no 
Rh| Cryptoloop ; yes FreeOTFE supports cryptoloop, dm-crypt/cryptsetup/dmsetup, and dm-crypt/LUKS volumes ; no ; no ; yes ; no ; no ; no ; no ; dunno ; dunno 
Rh| Cryptomator ; yes ; no ; no ; yes ; yes ; no ; no ; no ; yes ; yes 
Rh| CryptoPro Secure Disk Enterprise ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
Rh| CryptoPro Secure Disk for BitLocker ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
