 Name ; Run by ; Access API 
 rh|Amazon S3 ; Amazon.com ; HTTP (REST/SOAP) 
 rh|Google Cloud Storage ; Google ; HTTP (REST) 
 rh|SWIFT (part of OpenStack) ; Rackspace, Hewlett-Packard, others ; HTTP (REST) 
 rh|Microsoft Azure ; Microsoft ; HTTP (REST) 
 rh|IBM Cloud Object Storage ;IBM (formerly Cleversafe) ; HTTP (REST) 
