 Client ; Creator ; First public release date ; Latest stable version ; Software license ; Copy files over 2GB 
 rh| CoreFTP ; CoreFTP.com ; 2003 ; 2.2 (build 1751) 27 ; Freeware ; yes 
 rh| Fetch ; Fetch Softworks ; 1989 ; 5.7.7 2 ; Proprietary ; yes 
 rh| Secure FTP ; Glub Tech ; 1999 ; 2.6.2 27 ; Apache ; yes 
 rh| Sysax FTP Automation ; Codeorigin, LLC ; 2005 ; 5.31 12 ; Proprietary ; yes 
