 Distribution ; Founder ; Maintainer ; Initial release year ; Current stable version ; Security updates (years) ; Release date ; System distribution commitment ; Forked from ; Target audience ; Cost ; Status 
 Rh| Alpine Linux ; Alpine Linux Team ; Alpine Linux Team ; 2006 ; 3.12.0 ; dunno ; 2020-05-29 ; X ; LEAF Project ; security, lightweight, general ; None ; site active 
 Rh| ALT Linux ; ALT Linux Team ; ALT Linux Team, ALT Linux LLC ; 2001 ; 9.1 ; dunno ; 2020-07-29 ; X ; Mandrake Linux ; general, school ; None ; site active 
 Rh| antiX ; Anticapitalista ; Anticapitalista ; 2007 ; 19 ; dunno ; 2019-10-17 ; X ; Debian, MEPIS ; old computers ; Some editions are free of charge ; site active 
 Rh| ArchBang ; Willensky Aristide ; Stan McLaren ; 2011 ; Rolling ; Rolling ; dunno ; X ; Arch Linux (UKM Edition) ; general ; None ; site active 
 Rh| Arch Linux ; Judd Vinet ; dev team ; 2002 ; Rolling ; Rolling ; Rolling ; X ; Independent, inspired from CRUX ; general ; None ; site active 
 Rh| BLAG ; Brixton Linux Action Group ; Brixton Linux Action Group ; 2002 ; 140k ; dunno ; 2011-05-04 ; 100% Free: GNU FSDG ; Fedora ; desktop ; None ; site inactive 
 Rh| Bodhi Linux ; Bodhi Linux Team ; Bodhi Linux Team ; 2011 ; 5.1.0 ; dunno ; 2020-03-25 ; X ; Debian, Ubuntu ; desktop, lightweight ; None ; site active 
 Rh| Canaima ; CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community ; CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community ; 2007 ; 6.0 ; dunno ; 2018-03-19 ; X ; Debian, Ubuntu ; Government of Venezuela ; None ; site active 
 Rh| CentOS ; CentOS Project ; CentOS Project ; 2003 ; 8.2-2004 ; 10 years ; 2020-6-15 ; X ; Red Hat Enterprise Linux (RHEL) ; server, workstation ; None ; site active 
 Rh| Chakra ; Jan Mette and Arch Linux KDEmod developers ; The Chakra Project Team ; 2010 ; Rolling ; Rolling ; dunno ; X ; Arch Linux ; desktop ; None ; site active 
 Rh| Chrome OS ; Sundar Pichai ; Google ; 2009 ; 84.0.4147.110 ; 6.5 years ; 2020-07-29 ; X ; Chromium OS ; web applications ; None ; site active 
 Rh| ClearOS ; Peter Baldwin ; ClearFoundation ; 2000 ; 7.6.0 ; dunno ; 2019-05-09 ; X ; RHEL, CentOS ; server, gateway, network ; Some editions are free of charge ; site active 
 Rh| CrunchBang Linux ; Philip Newborough ; Philip Newborough ; 2008 ; 11 ; dunno ; 2013-05-06 ; X ; Debian ; desktop ; None ; site inactive 
 Rh| Damn Small Linux ; John Andrews ; dev team ; 2003 ; 4.4.10 ; dunno ; 2008-11-18 ; X ; Debian, Knoppix ; lightweight, portable ; None ; site inactive 
