 Model ; Launch ; Code name ; Process ; Transistors (billion) ; Die size (mm2) ; Core configname=CoreConfig ; Bus interface ;L2 Cache (MB) ; Clock Speeds ; Clock Speeds ; Clock Speeds ; Memory ; Memory ; Memory ; Memory ; Fillratename=PerfValues ; Fillratename=PerfValues ; Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ; Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ; TDP (Watts) ; SLI support ; Release price (USD) 
 Model ; Launch ; Code name ; Process ; Transistors (billion) ; Die size (mm2) ; Core configname=CoreConfig ; Bus interface ;L2 Cache (MB) ; Base (MHz) ; Boost (MHz) ; Memory (MT/s) ; Size (GiB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Pixel (GP/s)name=PixelFillrate ; Texture (GT/s)name=TextureFillrate ; Single precision ; Double precision ; TDP (Watts) ; SLI support ; MSRP 
 GeForce GT 945A ; February, 2016 ; GM108 ; TSMC28HP ; unk ; unk ; 512:24:8 (4) ; PCIe 3.0 ×8 ;? ; 1072  ; 1176 ; 1800 ; 1 / 2 ; 14.4 ; DDR3 / GDDR5 ; 64 ; 8.59.4 ; 25.728.2 ; 1097.71204.2 ; 34.337.6 ; 33 ; rowspan=1 No  ; OEM 
 GeForce GTX 950 ; August 20, 2015 ; GM206-250 ; TSMC28HP ; 2.94 ; 227  ; 768:48:32 (6)  ; PCIe 3.0 ×16  ;1 ; 1024 ; 1188 ; 6600 ; 2 ; 105.7 ; GDDR5 ; 128 ; 32.738.0 ; 49.157.0 ; 1572.81824.7 ; 49.157.0 ; 90 (75Some GTX950 cards were released without power connector powered only by PCIe slot. These had limited power consumption and TPD to 75W. ) ; 2-way SLI ; $159 
 GeForce GTX 950 (OEM){{cite web|url= GTX 950 (OEM)  Specifications  GeForce|website=geforce.com|accessdate=2019-01-09|archive-url= ; unk ; GM206 ; TSMC28HP ; 2.94 ; 227  ; 1024:64:32 (8) ; PCIe 3.0 ×16  ;1 ; 935 ; unk ; 5000 ; 2 ; 80.0 ; GDDR5 ; 128 ; 29.9 ; 59.8 ; 1914.9 ; 59.8 ; unk ; 2-way SLI ; OEM 
 GeForce GTX 960 ; January 22, 2015 ; GM206-300 ; TSMC28HP ; 2.94 ; 227  ; 1024:64:32 (8) ; PCIe 3.0 ×16  ;1 ; 1127 ; 1178 ; 7000 ; 24 Some manufacturers produced 4 GB versions of GTX 960. These were often criticized as useless move, as titles that would use so much VRAM and actually gain advantage over 2 GB versions, would already run too slow on those resolutions and settings, as GTX960 didn't have enough compute power and memory bandwidth to handle it.  ; 112.1 ; GDDR5 ; 128 ; 36.037.6 ; 72.175.3 ; 2308.02412.5 ; 72.175.3 ; 120 ; 2-way SLI ; $199 
 GeForce GTX 960 (OEM) ; unk ; GM204 ; TSMC28HP ; 5.2 ; 398 ; 1280:80:48 (10) ; PCIe 3.0 ×16  ;1 ; 924 ; unk ; 5000 ; 3 ; 120.0 ; GDDR5 ; 192 ; 44.3 ; 73.9 ; 2365.4 ; 73.9 ; unk ; 2-way SLI ; OEM 
 GeForce GTX 970 ; September 18, 2014 ; GM204-200 ; TSMC28HP ; 5.2 ; 398 ; 1664:104:56 (13) ; PCIe 3.0 ×16  ;1.75 ; 1050  ; 1178 ; 7000 ; 3.5 +0.5For accessing its memory, the GTX 970 stripes data across 7 of its 8 32-bit physical memory lanes, at 196GB/s. The last 1/8 of its memory (0.5GiB on a 4GiB card) is accessed on a non-interleaved solitary 32-bit connection at 28 GB/s, one seventh the speed of the rest of the memory space. Because this smaller memory pool uses the same connection as the 7th lane to the larger main pool, it contends with accesses to the larger block reducing the effective memory bandwidth not adding to it as an independent connection could.url-status=live  ; 196.3 +28.0name=GTX960MemoryMess ; GDDR5 ; 224 +32name=GTX960MemoryMess ; 58.865.9 ; 109.2122.5 ; 3494.43920.3 ; 109.2122.5 ; 145 ; 4-way SLI ; $329 
 GeForce GTX 980 ; September 18, 2014 ; GM204-400 ; TSMC28HP ; 5.2 ; 398 ; 2048:128:64 (16) ; PCIe 3.0 ×16  ;2 ; 1126  ; 1216 ; 7000 ; 4 ; 224.3 ; GDDR5 ; 256 ; 72.077.8 ; 144.1155.6 ; 4612.04980.7 ; 144.1155.6 ; 165  ; 4-way SLI ; $549 
 GeForce GTX 980 Ti ; June 1, 2015 ; GM200-310 ; TSMC28HP ; 8 ; 601 ; 2816:176:96 (22) ; PCIe 3.0 ×16  ;3 ; 1000 ; 1075 ; 7000 ; 6 ; 336.5 ; GDDR5 ; 384 ; 96.0103.2 ; 176.0189.2 ; 5632.06054.4 ; 176.0189.2 ; 250 ; 4-way SLI ; $649 
 GeForce GTX TITAN X ; March 17, 2015 ; GM200-400 ; TSMC28HP ; 8 ; 601 ; 3072:192:96 (24) ; PCIe 3.0 ×16  ;3 ; 1000 ; 1075 ; 7000 ; 12 ; 336.5 ; GDDR5 ; 384 ; 96.0103.2 ; 192.0206.4 ; 6144.06604.8 ; 192.0206.4 ; 250 ; 4-way SLI ; $999 
