 Object object ;  Trident ;  Gecko ;  WebKit ;  Presto ;  Blink 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 Object([value]) ; yes ; yes ; yes ; yes ; yes 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new Object([value]) ; 4.0 ; yes ; yes ; yes ; yes 
 Properties ; Properties ; Properties ; Properties ; Properties ; Properties 
 prototype ; 4.0 ; yes ; yes ; yes ; yes 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 constructor ; 4.0 ; yes ; yes ; yes ; yes 
 toString() ; 4.0 ; yes ; yes ; yes ; yes 
 toLocaleString() ; 4.0 ; yes ; yes ; yes ; yes 
 valueOf() ; 4.0 ; yes ; yes ; yes ; yes 
 hasOwnProperty(V) ; 5.5 ; yes ; 3 ; yes ; yes 
 isPrototypeOf(V) ; 5.5 ; yes ; 3 ; yes ; yes 
 propertyIsEnumerable(V) ; 5.5 ; yes ; 3 ; yes ; yes 
