 Model ; Code Name ; Release Date ; CPU Socket ; Processors Supported ; Fabricationprocess (nm) ; FSB/HTFrequency (MHz) ; PCI-Express ; SLI ; PCI ; USB ; PATA ; SATA ; LAN ; Sound ; Features 
 GeForce 8100 ; MCP78 ; 2008 ; Socket AM2+ ; Athlon 64 Athlon 64 X2 Athlon 64 FX OpteronSempron PhenomPhenom II ; ; HT 3.02.6 GHz ; 2.019 lanes ; No ; 5 Ports ; 12 Ports Rev 2.0 ; 1 Ports UDMA 133 ; 6 Ports 3.0Gbit/s ; 1000 Mbit/s ; HDA ; GeForce 8100 
 GeForce 8200 ; MCP78 ; 2008 ; Socket AM2+ ; Athlon 64 Athlon 64 X2 Athlon 64 FX OpteronSempron PhenomPhenom II ; ; HT 3.02.6 GHz ; 2.019 lanes ; No ; 5 Ports ; 12 Ports Rev 2.0 ; 1 Ports UDMA 133 ; 6 Ports 3.0Gbit/s ; 1000 Mbit/s ; HDA ; GeForce 8200 
 GeForce 8300 ; MCP78 ; 2008 ; Socket AM2+ ; Athlon 64 Athlon 64 X2 Athlon 64 FX OpteronSempron PhenomPhenom II ; ; HT 3.02.6 GHz ; 2.019 lanes ; No ; 5 Ports ; 12 Ports Rev 2.0 ; 1 Ports UDMA 133 ; 6 Ports 3.0Gbit/s ; 1000 Mbit/s ; HDA ; GeForce 8300 
