Provider ;Win. ;Linux ;Mac ;Android ;iOS ;Encrypted storage ;Zero knowledge ;Secure Key Management ;Limited MB plan ;Unlimited MB plan ;$/MB plan ;Unlimited BW  ;Provider ;Cloud hosted Net Drive ;Sync ;Autodetect changes ;Public file hosting ;physical media restore ;Server location(s) ;Free online storage (non-trial) ;Maximum per-file size ;External hard drive support ;Hybrid Option ;Green Hosting ;OpenSaaS 
Acronis ; yes ; Enterprise only, with limited data ; yes ; yes ; yes ; yes ; Optional ; yes ; optional (Enterprise) ; yes (Only win/mac) ; no ; yes ;Acronis ; no ; yes ; ; ; ; USA, EUR ; no ; No limit ; yes ; ; ; 
Backblaze ; yes ; yes ; yes ;yes ;yes ; yes ; no Company must be given passphrase (to private key) to restore any data. ;No ; no ; yes ; no ; no ;Backblaze ;  ; ; yes ; yes ; yes ; USA, EUR ; 10 GB ; No limit ; yes ; no ; ; 
Barracuda Backup Service ; yes ; yes ; yes ; ; ; yes ; no ;? ; no fee per computer ; no ; yes ; ;Barracuda Backup Service ; yesdate=June 2014 ; yes ; ; no ; yes ; USA, Canada, APAC, EUR ; no ; ; ; dunno ; ; 
Baidu Cloud ; yes ; yes ; yes ; yes ; yes ; yes ; no ;? ; no ; no ; yes ; ;Baidu ;  ; yes ; yes ; yes ;  ; CHN ;  2 TB  ; 4 GB (Non-member) 10 GB (Member) 20 GB (Super Member).  ; ; dunno ; ; 
Box ; yes ; Partial (no offline sync, access through DAV server)How to mount Box on LinuxHow to establish a webdav connection in GNOME3 ; yes ; yes ; yes ; yes ; no ;? ; yes ; no ;  ;  ;Box ; yes ; yes ; yes ;  ;  ; USA ; 10 GB ; 250 MB (Free) 5 GB (Paid) ; ;  ; ; 
Carbonite ; yes ; no ; yes ; yes ; yes ; yes  ; partial, optional for Windows onlyManaging Your Private Encryption Key ;? ; yes (Business only) ; yes (Home only) ; noBandwidth Allocation , retrieved 2012-01-25 ; yes  ;Carbonite ; ; yes ; yes ; yesHomePremier and Business plans only:  ; ; USA ; no ; 4 GB ; yesHomePlus, HomePremier and Business plans only:  ; yes ; ; 
CloudBerry Backup ; yes ; yes  ; yes ; no ; no ; yesCloudBerry Backup FAQ page ; yesdate=August 2018 ; yes ; ; ; ; yes ;CloudBerry Backup ; yes ; yes ; yes ; ; yes ; Global ; no ; No limit ; yes ; yes ; ; 
CloudMe ; yes ; yes ; yes ; yes ; yes ; no,but 3rdpartyapps availabledate=July 2014 ;  ;? ;  ; no ; ; yes ;CloudMe ; yes ; yes ; yes ;  ; ; SWE ; 3 GB ; 150 MB (Free Accounts) No limit (Premium Accounts) ; No Limit ; No ; ; 
Comodo Backup ; yes ; no ; no ; ; ; yes ; no ;? ; yes ; no ; yes (5) ; ;Comodo Backup ; no ; no ; ; no ;  ; USA ; no ;  ;  ; ; ; 
CrashPlan ; yes ; yes ; yes ; yes ; yes ; yes ; yes, except for web restore ; yes ; yes, 10TB ; no  ; no ; yes, throttled by setting by default  date=2011-03-05  ;CrashPlan ; no ; no ; yes ; no ; no ;  USA, AUSurl= 42 Software ; no ; No Limit ; yes ; no ; ; 
