 ; Austria ; Belgium ; Czechia ; Denmark ; Estonia ; Finland ; France ; Germany ; Greece ; Hungary ; Iceland ; Ireland ; Italy ; Luxembourg ; Netherlands ; Norway ; Poland ; Portugal ; Romania ; RussiaBelarus ; Slovakia ; Slovenia ; Spain ; Sweden ; SwitzerlandLiechtenstein ; Turkey ; Ukraine ; UK ; Åland 
 Customs ;  ;  ;  ; NOTUSED ;  ;  ;  ;  ;  ; or ; NOTUSED ; NOTUSED ;  ;  ; or ;  ;  ;  ;  ;  ;  ;  ;  ; or ; or ;  ;  ; NOTUSED ; Customs is written under the line in a suitable language 
 Police ; NOTUSED ; NOTUSED ;  ; NOTUSED ;  ;  ; or ;  ; NOTUSED ;  ; NOTUSED ; NOTUSED ;  ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ;  ; NOTUSED ;  ;  ;  ; NOTUSED ; or ; NOTUSED ; NOTUSED ;  ;  
 Toll ; NOTUSED ; or ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ;  ; or ;  ;  ;  ; NOTUSED ;  ; NOTUSED ; NOTUSED ; or ;  ;  ;  ; NOTUSED ; NOTUSED ;  ; or ;  ; NOTUSED ; NOTUSED ; NOTUSED ; (road charge) ; NOTUSED 
 Other Control ; NOTUSED ; NOTUSED ;  ;  ;  ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ; NOTUSED ;  ;  ; or ; NOTUSED ; NOTUSED ;  ; DEFUNCT ; NOTUSED ;  ;  ; NOTUSED ; NOTUSED ;  ; NOTUSED ; Same as "police" but with suitable text 
 ; Austria ; Belgium ; Czechia ; Denmark ; Estonia ; Finland ; France ; Germany ; Greece ; Hungary ; Iceland ; Ireland ; Italy ; Luxembourg ; Netherlands ; Norway ; Poland ; Portugal ; Romania ; RussiaBelarus ; Slovakia ; Slovenia ; Spain ; Sweden ; SwitzerlandLiechtenstein ; Turkey ; Ukraine ; UK ; Åland 
