Web host ;Storage size ;Max. file size ;Traffic or bandwidth limit ;Remote upload? ;Developer API? ;FTP upload possible? ;File versioning ;Follows symlinks ;Client-side encryption ;Free GB (number only) ;Append-only support? Append-only is a property of computer data storage such that new data can be appended to the storage, but where existing data is Immutable. This feature is especially important to mitigate the risk of data loss for backup policies in the event that the computer being backed-up becomes infected with ransomware capable of deleting or encrypting the computer's backups. ;Lifecycle Policy support? ;Misc. notes 
Amazon Drive ;  some5 GB 3 mo. free trial,up to 30 TB paid ;  2 GB upload via Web, 50 GB per file via Drive app and third party clients  ;  rarelyAmazon S3 limits ;  no ;  yes ;  no ;  no ;  ? ;  ? ;  5 ; ; ;  Free 5GB for everybody, except Mexico and China. 
 Amazon S3 ;  some5 GB 12-month free trial with credit-card,(paid bandwidth),unlimited paid ;  rarely5GB per file, unlimited files per bucket ;  rarelyAmazon S3 limits ;  no ;  yesREST, SOAP ;  ? ;  yes ;  ? ;  ? ;  0 ; ; ;  n/a 
 Baidu Cloud ;  rarely2TB (6 GB free) language = zh ;  rarely4 GB free,20 GB paid  language = zh ;  rarely  Traffic limit is not stable, after going over the traffic limit, there is a bandwidth limited to 500KB/s then 10KB/s after another traffic limit. ;  yes ;  yes ;  no ;  no ;  no ;  ? ;  6 ; ; ;  Currently in China only 
 Backblaze B2 ;  10 GB free, unlimited paid ;  ? ;  ? ;  ? ;  yes ;  ? ;  yes ;  ? ;  ? ;  10 ;  fileWrite allows existing files to become "hidden", which may get deleted with lifecycle rule daysFromHidingToDeleting ;  yes ;  
 BorgBase ;  5 GB free, unlimited paid ;  ? ;  ? ;  ? ;  yes ;  ? ;  ? ;  ? ;  ? ;  5 ;  yes ;  ? ;  
 Box ;  somefree trial,100 GB paid (Starter),Unlimited Business,Unlimited Enterprise accessdate = 20 July 2016. ;  rarely250MB free Personal,5GB paid Personal,5 GB Business,5 GB Enterprise ;  rarely10GB/month free,2 TB/month paid accessdate = 7 August 2013. ;  some 30MB per file via IFTTT ;  yes ;  some Business and Enterprise customers only ;  some (premium) ;  no ;  ? ;  10 ; ; ;  Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13 
 CloudMe ;  rarely3 GB free,+500 MB for referrals up to 16 GB,500 GB paid ;  some150MB free,Unlimited premium ;  None ;  no  ;  yes REST, SOAP, WebDAV ;  no  ;  rarely (60 days) accessdate=16 June 2014 ;  ? ;  ? ;  3 ; ; ;  Primarily focused on media files, synchronization and backup with web sharing. 
 Dropbox ;  some2 GB free,+500 MB for referrals up to 18 GB,1 TB, 2 TB, or unlimited paid ;  some10GB,Unlimitedusingclientapplication ;  rarely20GB/day free,200GB/day paid  ;  no ;  Yes ;  No ;  rarely 30 days by default,1 year w/ add-on ;  yes ;  no ;  2 ; ; ; Synchronization, backup and websharing. Does support Linux OS25 GB free with HTC Sense 4 & 5,100 GB free with Samsung device 
 Google Drive ;  some15GB free, url-status = dead 100GB to 30TB paid, Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users) ;  rarely5TB ;  ? ;  no ;  yesOAuth2 ;  no ;  yesAbout file versions ;  no ;  no ;  15 ; ; ; Additional space for limited time period with some devices and services. 
 IBM Connections Files Cloud ;  rarely1 TB paid(60-day free trial)IBM Connections Files Cloud - Pricing - United States.  Accessed 2019-01-12. ;  rarely2GB ;  None ;  no ;  yesCMIS, REST, Atom (standard) and OAuth2 ;  no ;  yes ;  ? ;  ? ;  5 ; ; ;  Subscription costs US$6/year accessdate=14 March 2014 
