 Kernel Name ; HTTP ; FTP ; NFS ; CIFS ; Name server ; Transport-layer load balancer ; Application-layer load balancer ; 9P ; TLS proxy ; WAF ; Memcached server 
 Linux kernel ; (TUX web server patch) ; (TUX web server patch) ; knfsd ; (CIFSD available) ; dunno ; IP Virtual Server ; (KTCPVS) ; (patch available) ; SOL_TLSdoc/Documentation/networking/tls.txt kernel.org ; (Tempesta FW) ; (kmemcached) 
 DragonFly BSD kernel ; no ; no ; yes ; yes ; dunno ; dunno ; dunno ; no ; no ; dunno ; dunno 
 FreeBSD kernel ; no ; no ; yes ; no ; no ; yes ; no ; no ; no ; dunno ; dunno 
 Solaris kernel ; dunno ; dunno ; Yes ; yes ; dunno ; yesIntegrated Load Balancer ; yes ; dunno ; KSSL ; dunno ; dunno 
 Windows NT kernel ; HTTP.sys ; dunno ; dunno ; yes ; dunno ; yes ; yes ; no ; dunno ; dunno ; dunno 
 XNU ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
