 ; Trident ; Gecko ; WebKit ; KHTML ; Presto 
 rh| Images ; rh| Images ; rh| Images ; rh| Images ; rh| Images ; rh| Images 
 img ; 4.0 ; 1.0 ; yes ; yes ; 1.0 
 rh| Generic inclusion ; rh| Generic inclusion ; rh| Generic inclusion ; rh| Generic inclusion ; rh| Generic inclusion ; rh| Generic inclusion 
 object ; 4.0group=note ; 1.0 ; rowspan="2" yes ; rowspan="2" yes ; 1.0 
 param ; 6.0 ; 1.0 ; 1.0 
 rh| Image maps ; rh| Image maps ; rh| Image maps ; rh| Image maps ; rh| Image maps ; rh| Image maps 
 map ; 4.0 ; 1.0 ; rowspan="2" yes ; rowspan="2" yes ; 1.0 
 area ; 5.0 ; 1.0 ; 1.0 
