 ; Trident ; Gecko ; WebKit ; KHTML ; Presto ; Prince XML ; Antenna House 
 XML namespacepublisher=W3C ; 5.0 ; 1.0 ; Dunno ; yes ; 1.0 ; 5.1 ; yes 
 xml:idpublisher=W3C ; no ; nopublisher=Mozilla ; no ; no ; 2.0 ; 5.1 ; yes 
 XML Eventspublisher=W3C ; no ; 1.8 ; Dunno ; Dunno ; 1.0 ; Dunno ; no 
 XIncludepublisher=W3C ; 3.1 ; nopublisher=Mozilla ; no ; Dunno ; no ; 5.1 ; no 
 XML Fragment Interchangepublisher=W3C ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; no 
 Associating CSS ; 5.0 ; 1.0 ; 419 ; yes ; 1.0 ; yes ; yes 
