 Model ; Launch ; Code name ;Fab (nm) ; Transistors (million) ; Die size (mm2) ; SM count ; Core config1,3 ; Clock rate ; Clock rate ; Clock rate ; Fillrate ; Fillrate ; Memory configuration ; Memory configuration ; Memory configuration ; Memory configuration ; Supported API version ; Supported API version ; Supported API version ; Supported API version ; Processing power (GFLOPS)2 ; Processing power (GFLOPS)2 ; TDP (Watts)4 ; Release Price (USD) 
 Model ; Launch ; Code name ;Fab (nm) ; Transistors (million) ; Die size (mm2) ; SM count ; Core config1,3 ; Core (MHz) ; Shader (MHz) ; Memory (MHz) ; Pixel (GP/s) ; Texture (GT/s) ; Size (MB) ; Bandwidth (GB/s) ; DRAM type ; Bus width (bit) ; Vulkan ; Direct3D ; OpenGL ; OpenCL5 ; Single precision ; Double precision ; TDP (Watts)4 ; Release Price (USD) 
 GeForce 4057 ; September 16, 2011 ; GT216GT218 ;40 nm ; 486260 ; 10057 ; 1 ; 48:16:816:8:4 ; 475589 ; 11001402 ; 800790 ; 3.82.36 ; 7.64.71 ; 5121024 ; 12.6 ; DDR3 ; 64 ; n/a ; 10.1 ; 3.3 ; 1.1 ; 105.644.86 ; unk ; 30.5 ; OEM 
 GeForce GT 420 ; September 3, 2010 ; GF108 ;TSMC 40nm ; 585 ; 116 ; 1 ; 48:4:4 ; 700 ; 1400 ; 1800 ; 2.8 ; 2.8 ; 512 ; 28.8 ; GDDR3 ; 128 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 134.4 ; unk ; 50 ; OEM 
 GeForce GT 430 ; October 11, 2010 ; GF108GF108-300-A1 ;TSMC 40nm ; 585 ; 116 ; 2 ; 96:16:4 ; 700 ; 1400 ; 16001800 ; 2.8 ; 11.2 ; 512 ; 25.628.8 ; GDDR3 ; 128 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.2 ; 268.8 ; unk ; 60 ; OEM 
 GeForce GT 430 ; October 11, 2010 ; GF108GF108-300-A1 ;TSMC 40nm ; 585 ; 116 ; 2 ; 96:16:4 ; 700 ; 1400 ; 1800 ; 2.8 ; 11.2 ; 5121024 2048 ; 28.8 ; GDDR3 ; 128 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 268.8 ; Unknown ; 49 ; $79 
 GeForce GT 430 ; October 11, 2010 ; GF108GF108-300-A1 ;TSMC 40nm ; 585 ; 116 ; 2 ; 96:16:4 ; 700 ; 1400 ; 1300 ; 2.8 ; 11.2 ; 5121024 2048 ; 10.4 ; GDDR3 ; 64 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 268.8 ; Unknown ; 49 ; $79 
 GeForce GT 440 ; February 1, 2011 ; GF108 ;TSMC 40nm ; 585 ; 116 ; 2 ; 96:16:4 ; 810 ; 1620 ; 18003200 ; 3.24 ; 12.96 ; 1024 ; 28.851.2 ; GDDR3GDDR5 ; 128 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 311.04 ; unk ; 65 ; $100 
 GeForce GT 440 ; October 11, 2010 ; GF106 ;TSMC 40nm ; 1170 ; 238 ; 3 ; 144:24:24 ; 594 ; 1189 ; 1800 ; 14.26 ; 14.26 ; 15363072 ; 43.2 ; GDDR3 ; 192 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 342.43 ; unk ; 56 ; OEM 
 GeForce GTS 450 ; October 11, 2010 ; GF106 ;TSMC 40nm ; 1170 ; 238 ; 3 ; 144:24:24 ; 790 ; 1580 ; 4000 ; 18.96 ; 18.96 ; 1536 ; 96 ; GDDR5 ; 192 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 455.04 ; unk ; 106 ; OEM 
 GeForce GTS 450 ; September 13, 2010March 15, 2011 ; GF106-250GF116-200 ;TSMC 40nm ; 1170 ; 238 ; 4 ; 192:32:16 ; 783 ; 1566 ; 3608 ; 12.53 ; 25.06 ; 5121024 ; 57.73 ; GDDR5 ; 128 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 601.34 ; unk ; 106 ; $129 
