Model ;Launch ;Fab (nm) ;Bus interface ;Memory ;Memory ;Memory 
Model ;Launch ;Fab (nm) ;Bus interface ; Size (KiB) ; Bus type ; Bus width (bit) 
 rh|Wonder MDA/CGA ; 1986 ; 1000 ; PC/XT ; 64 ; DRAM ; 8 
 rh|Wonder EGA ; 1987 ; 1000 ; PC/XT ; 256 ; DRAM ; 8 
 rh|Wonder VGA ; 1987 ; 1000, 800 ; PC/XT, ISA ; 256, 5121024 ; DRAM ; 8, 16 
