 Country ; Spacecraft ; Year launched 
 JPN ; Kibo ; 2008 
 CHN ; Tiangong 1 ; 2011 
 INDwork =The Hindu Business Line{{cite news|title=ISRO Looks Beyond Manned Mission, Gaganyaan Aims to Include Women|url= ; Indian Space Station ; ~2030 (Proposed) 
