 Threading and Synchronization ;Java ;C# 
Threads ; yes ; yes 
Thread pool ; yes ; yes 
Task-based parallelism ; yesFork-join framework included with Java version 7.  ; yes 
Semaphores ; yes ; yes 
Monitors ; yes ; yes 
Thread-local variables ; yes ; yes, ThreadStaticAttribute and ThreadLocal class 
