 ; Trident ; Gecko ; WebKit ; Presto 
 getContext ; 5.0 ; 1.8 ; yes ; 2.0 
 toDataURL ; 5.0 ; 1.8 ; yestitle=WebKit DOM Programming Topics: Using the Canvas ; 2.1Presto 2.0 had partial support for this property. 
