 ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto ; Prince XML 
 MathML ; no ; rowspan="4" no ; 1.0 ; nopublisher=WebKit ; no ; 2.1 ; 6.0 
 SVG ; 5.0 ; 1.8 ; 522 ; 3.2 ; 1.0 ; 5.1 
 XForms ; rowspan="2" no ; nopublisher=Mozilla ; nopublisher=WebKit ; rowspan="2" no ; no ; ? 
 VoiceXML ; no ; no ; 1.0 ; no 
