 Client ; Creator ; First public release date ; Latest stable version ; Software license ; Copy files over 2GB 
 rh| AbsoluteTelnet ; Celestial Software ; 1996 ; 9.49 02 ; Proprietary ; yes 
 rh| Beyond Compare ; Scooter Software ; 1996 ; 4.3.6 10 ; Proprietary ; yes 
 rh| Commander One ; Eltima Software ; 2015 ; 1.1 29 ; Proprietary ; yes 
 rh| CrossFTP Pro ; CrossFTP Software ; 2006 ; 1.98.7 23 ; Proprietary ; yes 
 rh| CuteFTP ; Alex Kunadze/Globalscape ; 1994 ; 9.3.0 (Windows) 11 / 3.1.3 (Mac) 2 ; Proprietary ; yes 
 rh| Directory Opus ; GPSoftware ; 1990 ; 11.10   19 ; Proprietary ; yes 
 rh| FlashFXP ; OpenSight Software, LLC ; 1999 ; 5.4.0.3970 01 ; Proprietary ; yes 
 rh|FTP Client ; Vicomsoft ; 1997 ; 5.0.1 ; Proprietary ; Yes 
 rh| SmartFTP ; SmartSoft Ltd ; 1998 ; 6.0.2155.0 23 ; Proprietary ; yes 
 rh| Total Commander ; Christian Ghisler ; 1993 ; 9.51  25 ; Proprietary ; Yes 
 rh| WebDrive ; South River Technologies, Inc. ; 1998 ; 2017  16 ; Proprietary ; Yes 
 rh| WS_FTP ; Ipswitch, Inc. ; 1996 ; 12.7 27 ; Proprietary ; Yes 
 rh|Yummy FTP ; Yummy Software ; 2004 ; 1.9.0 10 ; Proprietary, Setapp ; dunno 
