 Name ; Developer ; First released ; Licensing ; Maintained? 
Rh| Aloaha Crypt Disk ; Aloaha ; 2008 ; Open source ; yes 
Rh| ArchiCrypt Live ; Softwaredevelopment Remus ArchiCrypt ; 1998 ; Proprietary ; yes 
Rh| BestCrypt ; Jetico ; 1993 ; Proprietary ; yes 
Rh| BitArmor DataControl ; BitArmor Systems Inc. ; 2008-05 ; Proprietary ; yes 
Rh| BitLocker ; Microsoft ; 2006 ; Proprietary ; yes 
Rh| Bloombase Keyparc ; Bloombase ; 2007 ; Proprietary ; no{{cite web|publisher=Bloombase|title=Keyparc - Free Encryption for Everyone|url= 
Rh| Boxcryptor ; Secomba GmbH ; 2011 ; Proprietary ; yes 
Rh| CGD ; Roland C. Dowdeswell ; 2002-10-04 ; BSD ; yes 
Rh| CenterTools DriveLock ; CenterTools ; 2008 ; Proprietary ; yes 
Rh| Check Point Full Disk Encryption ; Check Point Software Technologies Ltd ; 1999Company and product name change to Pointsec  ; Proprietary ; yes 
Rh| CipherShed ; CipherShed Project ; 2014 ; TrueCrypt License Version 3.0 ; no 
Rh| CrossCrypt ; Steven Scherrer ; 2004-02-10 ; GPL ; no 
Rh| CryFS ;Sebastian Messmer ;2015 ; LGPLv3 ; yes 
Rh| Cryhod ;Prim'X Technologies ;2010 ; Proprietary ; yes 
Rh| Cryptainer ; Cypherix Software ; 1999 ; Proprietary ; yes 
Rh| Cryptic Disk ; Exlade ; 2003 ; Proprietary ; yes 
Rh| CryptArchiver ; WinEncrypt ; dunno ; Proprietary ; yes 
Rh| Cryptoloop ; dunno ; 2003-07-02Initial cryptoloop patches for the Linux 2.5 development kernel:  ; GPL ; no 
Rh| Cryptomator ; Skymatic UG (haftungsbeschränkt) ; 2016-03-09 ; GPLv3 ; yes 
Rh| CryptoPro Secure Disk Enterprise ; cpsd it-services GmbH ; 2010 ; Proprietary ; yes 
Rh| CryptoPro Secure Disk for BitLocker ; cpsd it-services GmbH ; 2012 ; Proprietary ; yes 
Rh| CryptSync ; Stefan Küng ; 2012 ; Gpl v2 ; yes 
Rh| Discryptor ; Cosect Ltd. ; 2008 ; Proprietary ; no 
Rh| DiskCryptor ; ntldr ; 2007 ; GPL ; yes 
Rh| DISK Protect ; Becrypt Ltd ; 2001 ; Proprietary ; yes 
Rh| Cryptsetup / Dmsetup ; Christophe Saout ; 2004-03-11dm-crypt was first included in Linux kernel version 2.6.4:  ; GPL ; yes 
Rh| Dm-crypt / LUKS ; Clemens Fruhwirth (LUKS) ; 2005-02-05 ; GPL ; yes 
Rh| DriveCrypt ; SecurStar GmbH ; 2001 ; Proprietary ; yes 
Rh| DriveSentry GoAnywhere 2 ; DriveSentry ; 2008 ; Proprietary ; No 
Rh| E4M ; Paul Le Roux ; 1998-12-18 ; Open source ; no 
Rh| e-Capsule Private Safe ; EISST Ltd. ; 2005 ; Proprietary ; yes 
Rh| eCryptfs ; Dustin Kirkland, Tyler Hicks, (formerly Mike Halcrow) ; 2005 ; GPL ; yes 
Rh| EgoSecure HDD Encryption ; EgoSecure GmbH ; 2006 ; Proprietary ; yes 
Rh| EncFS ; Valient Gough ; 2003 ; LGPLv3 ; yes 
Rh| EncryptStick ; ENC Security Systems ; 2009 ; Proprietary ; yes 
Rh| EncryptUSB ; ClevX ; 2016 ; Proprietary ; yes 
Rh| FileVault ; Apple Inc. ; 2003-10-24 ; Proprietary ; yes 
Rh| FileVault 2 ; Apple Inc. ; 2011-07-20 ; Proprietary ; yes 
Rh| FREE CompuSec ; CE-Infosys ; 2002 ; Proprietary ; yes 
Rh| FreeOTFE ; Sarah Dean ; 2004-10-10 ; Open source ; no 
Rh| GBDE ; Poul-Henning Kamp ; 2002-10-19 ; BSD ; no 
