 ; Austria ; Belgium ; Czechia ; Denmark ; Estonia ; Finland ; France ; Germany ; Greece ; Hungary ; Iceland ; Ireland ; Italy ; Luxembourg ; Netherlands ; Norway ; Poland ; Portugal ; Romania ; RussiaBelarus ; Slovakia ; Slovenia ; Spain ; Sweden ; SwitzerlandLiechtenstein ; Turkey ; Ukraine ; UK ; Åland 
 No through road ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; or 
 Hospital ;  ;  ;  ;  ; NOTUSED ; NOTUSED ; or ; NOTUSED ;  ;  ;  ;  ;  ;  ;  ;  ;  ; or ;  ;  ; DEFUNCT ;  ;  ; NOTUSED ; Indicates hospital with emergency station open 7/24.orMeans only presence of hospital, rest home, or the like. Is an educated indication to be quiet and to drive carefully. ;  ;  ; or ; NOTUSED 
 First aid ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; NOTUSED ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; NOTUSED ;  
 Bus stop ;or ; NOTUSED ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; orIn the Netherlands, the first one is always used because otherwise it wouldn't be an official bus stop. The bottom one is sometimes used to inform drivers a bus stop is coming up, mostly outside the built-up area. ;  ;  ;  ;  ;  ;  ;  ;  ;  ; NOTUSED ;  ;  ;  ; local orregional 
 Escape lane ; NOTUSED ;  ;  ; NOTUSED ; NOTUSED ; NOTUSED ;  ; NOTUSED ;  ; ; NOTUSED ; NOTUSED ; NOTUSED ;  ;  ; ;  ;  ;  ;  ;  ;  ;  ; NOTUSED ;  ;  ;  ;  ; NOTUSED 
 Tunnel ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; NOTUSED ; or ;  ;  ;  ;  ;  ;  ; NOTUSED ;  ;  ;  ;  ; This sign (no. 4.07) is produced at the beginning of a tunnel, if accompanied with sign no. 5.03 (length indication), it indicates the length of the tunnel, not the distance to the tunnel, as done by sign no. 4.07a! ;  ;  ; ; NOTUSED 
 Parking ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; Austria ; Belgium ; Czechia ; Denmark ; Estonia ; Finland ; France ; Germany ; Greece ; Hungary ; Iceland ; Ireland ; Italy ; Luxembourg ; Netherlands ; Norway ; Poland ; Portugal ; Romania ; RussiaBelarus ; Slovakia ; Slovenia ; Spain ; Sweden ; SwitzerlandLiechtenstein ; Turkey ; Ukraine ; UK ; Åland 
