 Country ; Spacecraft ; Power ; Thrust ; Specific impulse ; Year launched 
 JPN ; Hayabusa (μ-10, microwave ion thrusters) ; 350 W ; 8mN ; 3200s ; 2003 
 CHN ; Shijian 9A (LIPS-200, ring-cusp magnetic field ion thruster) ; 1kW ; 40mN ; 3000s ; 2012 
IND ; GSAT-20 (Full) ; ; ; ; 2020 (Planned) 
