 YouTube Downloader ; MP3 ; MPEG4 ; WMV ; AVI ; FLV ; Ogg Theora ; Ogg Vorbis ; Matroska ; 3GP ; SWF ; Special device profiles (e.g. iPhone) ; M4A ; WebM 
 rh|4KDownload ; yes;yes;no;no;yes;yes;yes;yes;yes;no;yes;dunno;dunno 
 rh|ClipGrab ; yes;yes;yes;no;no;yes;yes;no;no;no;no;dunno;dunno 
 rh|Airy ; yes;yes;no;no;no;no;no;no;no;no;no;dunno;dunno 
 rh|Free Studio  ; yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;dunno;dunno 
 rh|JDownloader  ; yes;yes;no;no;yes;no;no;no;no;no;no;dunno;dunno 
 rh|Video DownloadHelper ; yes;yes;yes;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno 
 rh|Freemake Video Downloader ; yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes 
 rh|NewPipe ; no;yes;no;no;no;yes;yes;yes;no;no;no;yes;yes 
