 Feature ; Android ; iOS ; Tizen ; Sailfish OS ; Ubuntu Touch 
System wide base text size ;Yes;YesPogue, David. (2011-11-10) Apple's AssistiveTouch Helps the Disabled Use a Smartphone – NYTimes.com . pogue.blogs.nytimes.com. Retrieved on 2012-07-03.;?;2.1.0+: Set text size;? 
Monaural output ;Yes;Yes;No;No;No 
Always visible scrollbar ;No;No;No;No;No 
Reduced Animations ;Yes;Yes;No;No;No 
