 Country ; Resolution ; Satellite ; Year launched 
 IND ; 0.35 meter ; RISAT-2BR1 ; 2019 
 IND ; 0.5 meter x 0.3 meter ; RISAT-2B ; 2019 
 JPN ; 0.5 meter ; IGS R-5 ; 2017 
 ISR ; 0.5 ; TecSAR ; 2008 
 CHN ; 0.5 meter ; Yaogan 29 ;2015 
 KOR ; 1 meter ; KOMPSat-5 ; 2013 
