 Library Name ; License ; Free ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Other Features ; Interactivity ; Interactivity ; Rendering Technologies ; Rendering Technologies ; Rendering Technologies ; Databinding ; HTML 5 Canvas  
 Flotr2 ; MIT ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; yes ; no ; no ; no ; yes ; ; yes ; yes ; no ; yes ;  ; yes ; yes ; yes ; yesaccessdate=April 10, 2014 ; no ; no ;  ;  
 FusionCharts ; proprietary ; Free for personal and non-commercial uses. Paid for commercial applications. ; yes accessdate=27 July 2018 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; yesurl-status=dead ;  ;  ;  
 Google Charts ; free ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; yesurl= 'bars' config helps creating bars of either horizontal or vertical ; yes ; yes ; yes ; yesurl= the 'select' event ; yes ; yesaccessdate=August 19, 2018 ; yes ; yes ;  
 gRaphael ; MIT ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; no ; no ; yes ;  ; yes ; yes ; no ; no ; yes ; no ;  ;  
 Highcharts, Highstock ; proprietary ; {{yes|Free for personal and non-commercial uses.{{cite web|url= Paid for commercial applications. ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; ; yes ; Yes ; yes ; yes ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;Yes ;  
 JenScript ; BSD-3 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ;noaccessdate=January 31, 2015 ; yes ; no ; yes ;  
 jqPlot ; MIT or GPLv2 ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; ; yes ; yes ; no ; yes ;  ; yes ; yes ; yes ; yesaccessdate=April 10, 2014 ; no ; no ;  ;  
 jqxChart ; proprietary ; Free with a link  or commercial ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; ; yes ; yes ; yes ; yes ; no ; yes ; yes	 ; yes ; yes ; yes ; yes ;  ;  
 JSCharting ; proprietary ; Free with branding  ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; yes ; no ;  ;  
 KoolChart ; proprietary ; Free with a link  or commercial ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yesaccessdate=November 5, 2014 ; no ; yes ; yes ;  
 LightningChart JS ; proprietary ; Free for personal and non-commercial uses. Paid for commercial applications. ; yes accessdate=23 September 2019 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; ; yes ; no ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ;  ; yes ; yes  
 MetricsGraphics ; Mozilla Public License Version 2.0 ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; no ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; yes ;  ;  
MuzeJS ; MIT{{Cite web|url= ; yes ; no ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; ; ;  
 NextCharts ; Apache 2.0 ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yes ; no ; no ; yes ;  
 NVD3 ; Apache 2.0 ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yesaccessdate=April 10, 2014 ; no ;  ;  
 OLAPCharts ; proprietary ; Free basic edition ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yes ; no ; no ;  ;  ;  
 plotly.js ; MITaccessdate=November 17, 2015 ; yes ; yes ; Yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; via PythonSee plotly.js-code from dropdown here:  ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yesaccessdate=April 10, 2014 ; no ;  ; yes  
 PlusCharts ; Free ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; no ; no ; yes ;  ; yes ; yes ; yes ; no ; yes ;yes ;  ;  
 ReactiveChart ; MITdate= 27 April 2018 ; yes  ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; yes ; yes ; ; yes ; yes ; yes ; no ; yes ; yes	 ; yes ; yes ; yes ; no ; yes ;  ;  
 RGraph ; MITaccessdate=December 23, 2016 ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ;  ;  
 rickshaw ; MITurl-status=dead  ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; no ; no ; no ;  ; yes ; yes ; no ; no ; yesurl-status=dead  ; no ;  ;  
 Shield UI ; proprietary ; Non-commercial or commercial ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; yesaccessdate=April 8, 2014 ;  ;  ;  
 Syncfusion ; proprietary ; yes Free or commercial ; yes ; yes ; yes ; yes ; yes ; Yes ; yes ; yes ;  Yes ; no ; yes ; yes ; ; yes ; yes ; yes ; Yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Yes ;  
 TeeChart JS ; MIT ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ;  ;  
 Vaadin Charts ; proprietary ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; no ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; yes ;  ;  ;  
 VanCharts ; proprietary ; {{no|cc-by-nc 4.0  ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yes ; no ; yes ;  ;  ;  
  VisJS ; {{free|Apache 2.0 and MIT ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; yes ; yes ; ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ;  ;  
  Webcharts ; MIT ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; ; yes ; no ; no ; yes ;  ; yes ; yes ; yes ; no ; yes ; no ;  ;  
 Webix JS Charts ; GPL ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; yes ; ; yes ; yes ; no ; yes ;  ; yes  ; yes  ; yes  ; yes ; no ; yes ; yes ;  
 xcharts ; MIT ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; ; no ; no ; no ; no ;  ; no ; yes ; yes ; no ; yes ; no ;  ;  
 YUI Charts ; BSD-3 ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; ; yes ; no ; no ; no ;  ; yes ; yes ; no ; yes ; yes ;yesaccessdate=April 8, 2014 ;  ;  
 ZingChart ; proprietary ; Free with a link  or commercial ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yes ; yes ;yesaccessdate=April 8, 2014 ; yes ;  ;  
 ZoomCharts ; proprietary ; Non-commercial or commercial ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yesaccessdate=April 8, 2014 ; yes ; no ;  ;  
