 Can: ; work at OSI Layer 4 (stateful firewall) ; work at OSI Layer 7 (application inspection) ; Change TTL? (Transparent to traceroute) ; Configure REJECT-with answer ; DMZ (de-militarized zone) ; Filter according to time of day (quota) ; Redirect TCP/UDP ports (port forwarding) ; Redirect IP addresses (forwarding) ; Filter according to User Authorization ; Traffic rate-limit / QoS ; Tarpit ; Log 
 rh| Sidewinder ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| WinGate ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes 
 rh| Zeroshell ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes 
 rh| pfSense ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes 
 rh| IPFire ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; yes ; dunno ; yes ; no ; yes 
