 ; Trident ; Gecko ; WebKit ; Presto 
 2d ; 5.0 ; 1.9.1 ; partial ; 2.6 
 WebGL ; 7.0 ; dependspublisher=Mozilla ; dependsdate=1 October 2009 ; 2.9.220title=Opera Desktop Team Blog 
