Processor ; SeriesNomenclature ; CodeName ; Production Date ; Supported Features (Instruction Set) ; Clock Rate ; Socket ; Fabri-cation ; TDP ; NumberofCores ; Bus Speed ; L1 Cache ; L2 Cache ; L3 Cache ; OverclockCapable 
Pentium 4 ; 5xx, 6xx ; Gallatin, Prescott 2M ; 2000 - 2008 ; ; 3.2GHz - 3.73GHz ; Socket 478, Socket T ; 90nm, 130nm ; 92 W - 115 W ; 1 /w hyperthreading ; 800MHz, 1066MHz ; 8 KiB ; 512 KiB - 1 MiB ; 0 KiB - 2 MiB ; 
Pentium M ; 7xx ; Banias, Dothan ; 2003 - 2008 ; ; 800MHz - 2.266GHz ; Socket 479 ; 90nm, 130nm ; 5.5 W - 27 W ; 1 ; 400MHz, 533MHz ; 32 KiB ; 1 MiB - 2 MiB ; N/A ; 
Pentium D/EE ; 8xx, 9xx ; Smithfield, Presler ; 2005 - 2008 ; ; 2.66GHz - 3.73GHz ; Socket T ; 65nm, 90nm ; 95 W - 130 W ; 2 ; 533MHz, 800MHz, 1066MHz ; 16 KiB per core ; 2×1 MiB - 2×2 MiB ; N/A ; 
Intel Pentium Dual-Core ; E2xxx, E3xxx, E5xxx, T2xxx, T3xxx ; Allendale, Penryn, Wolfdale, Yonah ; 2006 - 2009 ; ; 1.6GHz - 2.93GHz ; Socket 775, Socket M, Socket P, Socket T ; 45nm, 65nm ; 10 W - 65 W ; 2 ; 533MHz, 667MHz, 800MHz, 1066MHz ; 64 KiB per core ; 1 MiB - 2 MiB ; N/A ; 
Intel Pentium (2009) ; E2xx0, E5xxx, E6xxx, T2xxx, T3xx, T4xxx, SU2xxx, SU4xxx, G69xx, P6xxx, U5xxx, G6xx, G8xx, B9xx, G2xxx, 2xxx, G3xxx, 3xxx, J2xx0, J3xxx, N3xxx, G4xx0, 4xxx ; Penryn, Wolfdale, Clarkdale, Sandy Bridge, Ivy Bridge, Haswell, Bay Trail-D, Braswell, Skylake ;2009–present ; ; 1.2GHz - 3.33GHz ; Socket 775, Socket P, Socket T, LGA 1156, LGA 1155, LGA 1150, LGA 1151 ; 14nm, 22nm, 32nm, 45nm, 65nm ; 2.9 W - 73 W ; 1 or 2 ; 800MHz, 1066MHz, 2.5GT/s, 5 GT/s ; 64 KiB per core ; 2x256 KiB - 2 MiB ; 0 KiB - 3 MiB ; 
Intel Core ; Txxxx, Lxxxx, Uxxxx ; Yonah ; 2006 - 2008 ; ; 1.06GHz - 2.33GHz ; Socket M ; 65nm ; 5.5 W - 49 W ; 1 or 2 ; 533MHz, 667MHz ; 64 KiB per core ; 2 MiB ; N/A ; 
Intel Core 2 ; Uxxxx, Lxxxx, Exxxx, Txxxx, P7xxx, Xxxxx, Qxxxx, QXxxxx ; Allendale, Conroe, Merom, Penryn, Kentsfield, Wolfdale, Yorkfield ; 2006 - 2011 ;intel core quad ; 1.06GHz - 3.33GHz ; Socket 775, Socket M, Socket P, Socket J, Socket T ; 45nm, 65nm ; 5.5 W - 150 W ; 1, 2 or 4 ; 533MHz, 667MHz, 800MHz, 1066MHz, 1333MHz, 1600MHz ; 64 KiB per core ; 1 MiB - 12 MiB ; N/A ; 
Intel Core i3 ; i3-xxx, i3-2xxx, i3-3xxx, i3-4xxx, i3-61xx, i3-63xx ; Arrandale, Clarkdale, Sandy Bridge, Ivy Bridge, Haswell, Skylake, Kaby Lake, Coffee Lake ; 2010–present ; ; 800MHz - 4.0GHz ; LGA 1156, LGA 1155, LGA 1150, LGA 1151 ; 14nm, 22nm, 32nm ; 35 W - 73 W ; 2 /w hyperthreading ; 1066MHz, 1600MHz, 2.5 - 5 GT/s ; 64 KiB per core ; 256 KiB ; 3 MiB - 4 MiB ; 
Intel Core i5 ; i5-7xx, i5-6xx, i5-2xxx, i5-3xxx, i5-4xxx, i5-64xx, i5-65xx, i5-66xx, i5-74xx, i5-75xx, i5-76xx, i5-84xx, i5-85xx, i5-86xx ; Arrandale, Clarkdale, Clarksfield, Lynnfield, Sandy Bridge, Ivy Bridge, Haswell, Broadwell, Skylake, Kaby Lake, Coffee Lake ; 2009–present ; ; 1.06GHz - 4.2GHz ; LGA 1156, LGA 1155, LGA 1150, LGA 1151 ; 14nm, 22nm, 32nm, 45nm ; 17 W - 95 W ; 2 /w hyperthreading, 4 ; 2.5 - 5 GT/s ; 64 KiB per core ; 256 KiB ; 4 MiB - 8 MiB ; 
Intel Core i7 ; i7-6xx, i7-7xx, i7-8xx, i7-9xx, i7-2xxx, i7-37xx, i7-38xx, i7-47xx, i7-48xx, i7-58xx, i7-59xx, i7-67xx, i7-68xx, i7-69xx, i7-7700K ; Bloomfield, Nehalem, Clarksfield, Clarksfield XM, Lynnfield, Sandy Bridge, Sandy Bridge-E, Ivy Bridge, Ivy Bridge-E, Haswell, Haswell Refresh, Devil‘s Canyon, Broadwell, Skylake, Kaby Lake, Coffee Lake ;  2008–present ; ; 1.1GHz - 4.4GHz ; LGA 1156, LGA 1155, LGA 1366, LGA 2011, LGA 1150, LGA 1151 ; 14nm, 22nm, 32nm, 45nm ; 45 W - 130 W ; 4, 4 /w hyperthreading, 8 ; 4.8 GT/s, 6.4 GT/s ; 64 KiB per core ; 4×256 KiB ; 6 MiB - 10 MiB ; 
Intel Core i7 (Extreme Edition) ; i7-970, i7-980, i7-980x, i7-990x, i7-39xx, i7-49xx, i7-5820K, i7-59xx, i7-6800K, i7-6850K, i7-6900K, i7-6950X, (i5-7640X), i7-7740X, i7-7820X ;Gulftown, Sandy Bridge-E, Ivy Bridge-E, Haswell-E, Broadwell-E, Skylake, Kaby Lake ; 2011–present ; ; 3.0GHz - 5.0GHz ;LGA 1366, LGA 2011, LGA 2011-v3, LGA 2066 ; 14nm, 22nm, 32nm ; 130 W - 150 W ;4, 6, 8 or 10 (with hyperthreading) ; 2.5GT/s - 6.4 GT/s ; 64 KiB per core ; 6x256 KiB ; 12 MiB - 20 MiB ;Yes 
Intel Core i9 ;i9-9900K, i9-9900, i9-9900T, i9-9880H, i9-9980HK, 8950HK ;Coffee Lake ;2018–present ; ;3.0 Ghz - 5.3 Ghz ;LGA 1151 ;14nm ;45 W - 95 W ;6 - 8 ;8 GT/s ;512 KiB ;2 MiB ;16 MiB ;Some 
Intel Core i9 (Extreme Edition)  ;i9-7900X, i9-7920X, i9-7940X, i9-7960X, i9-7980XE, i9-9900T ;Kaby LakeCascade Lake ;Q3 2017–present ; ;2.90GHz- 4.30GHz ;LGA 2066 ;14nm ;35 W - 165 W ;8-18 (with hyperthreading) ;8 GT/s ;64 KiB per core ;1 MiB per core ;13.75MiB-24.75MiB ;Yes 
Processor ; SeriesNomenclature ; CodeName ; Production Date ; Supported Features (Instruction Set) ; Clock Rate ; Socket ; Fabri-cation ; TDP ; NumberofCores ; Bus Speed ; L1 Cache ; L2 Cache ; L3 Cache ; OverclockCapable 
