 ; Trident ; Gecko ; WebKit ; KHTML ; Presto ; Prince XML ; Antenna House 
 DTD ; no ; partialgroup=note ; nopublisher=WebKit ; no ; partialgroup=note ; 3.0 ; depends 
 XML Schemapublisher=W3Cpublisher=W3Cpublisher=W3Cpublisher=W3C ; Dunno ; partial ; rowspan="2" no ; Dunno ; rowspan="2" no ; Dunno ; depends 
 RELAX NGurl= NG home page ; Dunno ; nopublisher=Mozilla ; Dunno ; Dunno ; depends 
