 Name ; Description/Focus ; Registered user ; Alexa ranking ; Free ; Premium ; Supports same-sex connections ; Supports non-monogamous connections ; Messaging other users ; STD-notification ; background checks 
 Manhunt ; Profile-based dating website for men seeking men ; ; 28291 ; free: Messaging, search, 20 profile views per day, video chat. ; Yes-No: Manhunt VIP includes unlimited profile views, view full-sized profile photos, unlimited buddies, unlimited blocks, saved searches ; Yes (exclusively) ; ? ; Free ;  
 Match.com ; ; 96000000 registered,as of 2010{{cite web|url= Many Members Do the Top Dating Sites Have?|accessdate=2010-10-23|archive-url= 1,377,000 active (2009) ; 2113 ; Nonfree ; Yes ; Yes ; ? ; Nonfree ; ;  
 Matchmaker.com ; Dating service founded in 1986 ; ; 259771 ; ; ; Yes ; ? ; ;  
 Meetic ; European online dating service owned by IAC ; 42000000 registeredas of 2011 ; 67919 ; Nonfree ; Yes ; Yes ; ; ; ;  
 Moonit ; Offers compatibility match according to user' birthdate.  ; 2000000 registered,as of 2014 ; 747471 ; Partial ; Yes ; Yes ; ? ; Partial ; ;  
 OkCupid (OkC) ; Uses answers from user-generated questions to find matches that conform to a user's stated preferences. ; 30000000+ activeas of 2013 ; 1,519 ; Free ; Yes-No, Free to join, search, messaging, and chat. Non essential features like sponsored profile promotion available for paid "A-List" members. ; Yes ; Yes ; Yes, after mutual match. ; ;  
 Parship ; Dating site for people looking for a long-term relationship, using a personality test. Available in Europe and Mexico. ;  ; 224512 ; Partial ; Yes, free profile but subscription required for most features including messaging. ; Yes ; ; Nonfree ;  
 Perfectmatch.com ; This dating website is using heuristic algorithms to find matches. ; ; 2300989 ; Nonfree ; Yes ; Yes ; ; Nonfree ; ;  
 POF (PlentyofFish) ; Dating site mostly active in United States, Canada, United Kingdom and Brazil ; 100,000,000 registeredas of 2015 ; 2670 ; Free ; Yes-No, While it is free to use, POF offers premium services as part of their upgraded membership, such as seeing the date and time a user viewed your profile and allowing you to see whether a user read and/or deleted your message. ; Yes ; ; Free ; ;  
 Right Stuff ; Dating site for graduates and faculty of Ivy League, Seven Sisters, and about 50 similar colleges and universities and medical schools ; 4900 ; 4522502 ; No ; $50 Fee for 6 month membership, plus $3 for profile of members of interest ; ? ; ? ; Free ; ;  
 Scruff ; Dating app for gay and bisexual men ; 10 million registered users (2016) ; 339730 ; Free ; Yes ; Yes (exclusively) ; Yes ; Free ; Yes ;  
 SpeedDate.com ; Online speed dating site, where users meet via text, audio, and video chat ; 9000000 registeredas of 2010 ; 299586 ; Partial ; Premium users can continue communicating after unlimited free speed dates ; Yes ; ; ; ;  
 Taimi ; Geosocial networking application based on Android and iOS for LGBTQI+ community. ; 2,000,000+as of 2019accessdate=2019-09-23  ; 342235 ; Free ; Yes ; Yes  ; Yes ; Free ; ;  
 Tastebuds.fm ; Utilizes tastes in music ; ; 115370 ; Nonfree (2014) ; Yes, Subscription required to send or receive messages. ; Yes ; ; Used to be free and is free for users that joined before it became non-free. Not free for new users ; ;  
 Tawkify ; Has human matchmakers who set up matches rather than having users find each other.Biddle, Sam. "The Best Dating Site You've Never Heard of Is Too Smart for Its Own Good", Gizmodo, 29 June 2012. Retrieved on 4 August 2012. ; ;169895 ;Nonfree ;Nonfree based on user creating activities. ;Yes ; ;Nonfree ; ;  
 Tinder ; Mobile single dating site ; 50000000 registered,as of 2015 ;14870{{cite web|title=Alexa Traffic Ranks|url= ; Free ; Yes – premium users get unlimited swipes, can undo a no-swipe, can browse in other locations, in addition to some other preferences and features ; Yes ; ? ; Yes, after mutual match. ; ;  
 Zoosk ; Has an integration with Facebook community."Zoosk Facebook Page" – June 2, 2011 ; 50000000as of 2011 ; 5153 ; Nonfree ; Yes-No, Searching and viewing partial profiles is included with free account like most dating sites, fee or monthly subscription for full communication with other members."Zoosk Review"  – July 3, 2012 ; Yes ; ; Nonfree ; ;  
