Name ;FOSS ;Platform ;Details 
CrushFTP Server ;no, proprietary ;Mac OS X, Windows, Linux, *BSD, Solaris, etc. ;FTP, FTPS, SFTP, SCP, HTTP, HTTPS, WebDAV and WebDAV over SSL, AS2, AS3, Plugin API, Windows Active Directory / LDAP authentication, SQL authentication, GUI remote administration, Events / Alerts, X.509 user auth for HTTPS/FTPS/FTPES, MD5 hash calculations on all file transfers, Protocol Conversion (incoming FTP/FTPS/SFTP/HTTP/HTTPS protocols converted to a back end FTP/SFTP server.), SSH Tunneling, HTTP(S) Tunneling, CrushTask, Headless (Web browser management, or you can edit XML files directly, or issue terminal commands to add users, manage groups, inheritance, permissions, query server statistics, etc. date=March 2019) Supports cloud storage via S3, Azure, Citrix file storage, Hadoop and Google Drive for file data.  Support for CrushBalance load balancer, or others via proxy protocol v1 and v2. 
glFTPd ;no, proprietary ;Linux, BSD, Mac OS X ;Virtual users and groups, private paths, bandwidth throttling, upload/download ratio support, on the fly CRC calculating of files being uploaded, script support on almost all commands and operations, online user management, built-in statistics viewable using site commands, FTPS and ACL support. Supports FXP. 
ProFTPD ;yes, GPL ;Unix-like (Linux, BSD, Mac OS X, and more), Windows with Cygwin ;Feature rich and popular FTP daemon for Unix-like platforms. Many third party Graphical User Interfaces (GUIs) available. SFTP can be supported via add-on module. 
Pure-FTPd ;yes, BSD License ;Linux, BSD, Mac OS X, and more ; Supports FXP. 
vsftpd ;yes, GPLv2 ;Linux, BSD, and more ; FTP, FTPS, FTPES. Supports X.509 client cert auth. deny / enable lists for user access. Logging data can be compatible with wu-ftpd format. vsftpd is default FTP daemon in Ubuntu, CentOS, Fedora, Slackware (along with ProFTPD), NimbleX and RHEL. Others like Debian require an additional installation. GPLv2 license with exception for linking with OpenSSL. 
wu-ftpd ;no, proprietary ;Linux, BSD, Solaris, Mac OS X and more ;Main website seems offline, but continues development in the newer CC series 
