 Distribution ; Default Linux kernel ; Default file system ; Default init system ; Install-time desktop environment or window manager selection ; Reproducible builds 
 Rh| Parsix ; Binary blobs ; ext4 ; systemd ; GNOME ; no 
 Rh| PCLinuxOS ; Binary blobs ; none ; sysvinit ; KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox ; no 
 Rh| Pentoo ; Binary blobs ; SquashFS ; openrc ; Enlightenment ; no 
 Rh| Porteus ; Binary blobs ; Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs ; sysvinit ; KDE, LXDE, Xfce, Openbox, Razor-qt ; no 
 Rh| Puppy Linux ; Binary blobs ; SquashFS containing ext2 ; busybox-init ; JWM ; no 
 Rh| Red Hat Enterprise Linux ; Binary blobs ; xfs ; systemd ; GNOME ; no 
 Rh| Rxart Desktop ; Binary blobs ; ext3 ; dunno ; KDE Plasma Workspaces ; no 
 Rh| Sabayon Linux ; Binary blobs ; ext4 ; systemd ; KDE Plasma Workspaces, GNOME ; no 
 Rh| Scientific Linux ; Binary blobs ; ext4 ;sysvinit, systemdPrior to v7.0, Scientific Linux used sysvinit. Since v7.0, it uses systemd.  ; GNOME ; no 
 Rh| Slackware ; Binary blobs ; ext4, ext3, ext2, reiserfs, brtfs, xfs ; RC.d and sysvinit compatibile ; KDE, XFCE Fluxbox, Blackbox, fvwm2 twm ; no 
 Rh| Slax ; Binary blobs ; SquashFS ; sysvinit ; KDE Plasma Workspaces ; no 
 Rh| SliTaz GNU/Linux ; Binary blobs ; ext3 ; busybox-init ; Openbox ; no 
 Rh| Solus ; Binary blobs ; ext4 ; systemd ; Budgie, Gnome, MATE ; no 
 Rh| Source Mage GNU/Linux ; Binary blobs ; ext2 ; simpleinit-msb ; no2 none ; no 
 Rh| SteamOS ; Binary blobs ; dunno ; systemd ; Steam ; no 
 Rh| SUSE Linux Enterprise Desktop ; Binary blobs ; btrfs ; systemd ; GNOME ; no 
 Rh| Tails ; Vanilla Linux ; dunno ; systemd ; GNOME ; Reproducible ISO and USB imagesHave your cake and eat it, too!Verifying a Tails image for reproducibility 
 Rh| Trisquel ; Linux-libre ; ext4, xfs ; systemd ; GNOME, LXDE ; no 
 Rh| TurnKey GNU/Linux ; Binary blobs ; ext4 ; systemd ; none - headless server by design, provides Webmin for administration ; no 
 Rh| Ubuntu/Edubuntu ; Binary blobs ; ext4 ; systemd ; Unity ; no 
 Rh| Ubuntu GNOME ; Binary blobs ; ext4 ; systemd ; GNOME 3 ; no 
 Rh| Ubuntu MATE ; Binary blobs ; ext4 ; systemd ; MATE ; no 
 Rh| Kubuntu ; Binary blobs ; ext4 ; systemd ; KDE Plasma Workspaces ; no 
 Rh| Xubuntu ; Binary blobs ; ext4 ; systemd ; Xfce ; no 
 Rh| Lubuntu ; Binary blobs ; ext4 ; systemd ; LXQt ; no 
 Rh| Ututo ; {{Free|Ututo XS (stable) is de-blobbed with Linux-libre tools. ; ext3 ; systemd ; GNOME ; no 
 Rh| VectorLinux ; Binary blobs ; ReiserFS ; sysvinit ; KDE, Openbox, Fluxbox, IceWM, Xfce ; no 
 Rh| Void Linux ; Binary blobs ; none ; runit ; no2 none ; no 
 Rh| Webconverger ; Binary blobs ; gitfs ; sysvinit ; dwm enforcing a Browser-only interface ; no 
 Rh| XBMC Live ; Binary blobs ; ext3 ; systemd ; XBMC Media Center ; no 
 Rh| Zentyal ; Binary blobs ; ext4 ; systemd ; LXDE ; no 
 Rh| Zenwalk ; Binary blobs ; ext4 ; sysvinit ; Xfce ; no 
 Distribution ; Default Linux kernel ; Default file system ; Default init system ; Install-time desktop environment or window manager selection ; Reproducible builds 
