 Model(Codename) ; Launch ; Architecture(Fab) ; TransistorsDie Size ; Core ; Core ; Fillratename="boost"name="texture fill"name="pixel fill" ; Fillratename="boost"name="texture fill"name="pixel fill" ; Processing powername="boost"name="FLOPS"(GFLOPS) ; Processing powername="boost"name="FLOPS"(GFLOPS) ; Memory ; Memory ; Memory ; Memory ; TDP (W) ; Bus interface ; Release Price (USD) 
 Model(Codename) ; Launch ; Architecture(Fab) ; TransistorsDie Size ; Configname="cconfig" ; Clockname="boost" (MHz) ; Texture (GT/s) ; Pixel (GP/s) ; Single ; Double ; Bustype&width (bit) ; Size (GiB) ; Clock (MT/s) ; Band-width (GB/s) ; TDP (W) ; Bus interface ; Release Price (USD) 
 rh| Radeon WX 2100 MobileRadeon ProWX 2100 (Mobile)(Polaris 12) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9101 mm2 ; 512:32:16:8 ; ? ; ? ; ? ; 1250 ; 781/16 SP ; GDDR564-bit ; 2 ; 6000 ; 48 ; 35 ; PCIe 3.0 ×16 ; $ 149 
 rh| Radeon WX 3100 MobileRadeon ProWX 3100 (Mobile)(Polaris 12) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9101 mm2 ; 512:32:16:8 ; ? ; ? ; ? ; 1250 ; 781/16 SP ; GDDR5128-bit ; 4 ; 6000 ; 96 ; 50 ; PCIe 3.0 ×16 ; $ 199 
 rh| Radeon WX 4130 MobileRadeon ProWX 4130 Mobile(Polaris 11) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9123 mm2 ; 640:40:16:10 ; 10001050 ; 16.85 ; 42.12 ; 1348 ; 84.241/16 SP ; GDDR5128-bit ; 4 ; 6000 ; 96 ; 50 ; PCIe 3.0 ×16 ; unk 
 rh| Radeon WX 4150 MobileRadeon ProWX 4150 Mobile(Polaris 11) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9123 mm2 ; 896:56:16:14 ; 10001050 ; 16.85 ; 58.97 ; 1887 ; 1181/16 SP ; GDDR5128-bit ; 4 ; 6000 ; 96 ; 50 ; PCIe 3.0 ×16 ; unk 
 rh| Radeon Pro WX 4170 MobileRadeon ProWX 4170 Mobile(Polaris 11) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9123 mm2 ; 1024:64:16:16 ; 10001050 ; 16.85 ; 67.39 ; 2157 ; 1351/16 SP ; GDDR5128-bit ; 4 ; 7000 ; 112 ; 50 ; PCIe 3.0 ×16 ; $ 399 
 rh| Radeon Pro WX 7100 MobileRadeon ProWX 7100 Mobile(Polaris 10) ; nowrap=off ; GCN 4th gen(14 nm) ; e=9232 mm2 ; 2304:144:32:36 ; 1188 ; 39.78 ; 179.0 ; 5728 ; 358 1/16 SP ; GDDR5256-bit ; 8 ; 5000 ; 160 ; 130 ; PCIe 3.0 ×16 ; $ 799 
