 Product ; Local books ; Book file search ; Epub downloading ; Browser downloading ; OPDS catalog ; Books tag ; Books sort ; Books manage metadata 
 Aldiko Book Reader ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 AlReader ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes 
 Bookari ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 Cool Reader ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes 
 EBookDroid ; Yes ; dunno ; dunno ; dunno ; Yes ; dunno ; dunno ; dunno 
 Ebook Reader ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; No 
 eReader Prestigio ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; Yes ; no 
 FBReader ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 iReader ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Kindle ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Kobo Books ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 KOReader ; yes ; dunno ; no ; no ; yes ; dunno ; dunno ; dunno 
 Lektz eBook Reader ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 Librera ; Yes ; Yes ; Yes ; yes ; Yes ; yes ; Yes ; no 
 Moon+ reader ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes 
 MReader ; Yes ; Yes ; Yes ; yes ; no ; no ; no ; no 
 PocketBook ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes 
 Socio eReader ; yes ; yes ; yes ; no ; no ; no ; yes ; no 
 Product ; Local books ; Book file search ; Epub downloading ; Browser downloading ; OPDS catalog ; Books tag ; Books sort ; Books manage metadata 
