 Report date ; Place    ; Period ; Iodine-131(TBq)    ; Iodine-131(TBq)    ; Caesium-137(TBq)    ; Caesium-137(TBq)    ; Source    
 Report date ; Place    ; Period ;from    ;to    ;from    ;to    ; Source    
2002    ;Chernobyl    ;25 April – June 1986    ; 1,600,000 ; 1,940,000 ; 59,000 ; 111,000 ;NEAdate=2012-03-18 2002, archived from Original on 20 April 2011, retrieved on 6 April 2011. 
22 March 2011    ;Fukushima    ;12 – 15 March 2011    ; 400,000 ; 400,000 ; 3,000 ; 30,000 ;ZAMGdate=14 September 2011 de. ZAMG, 22 March 2011, archived from Original on 20 April 2011, retrieved on 20 April 2011. 
2 April 2011    ;Fukushima    ;12 – 19 March 2011    ; 10,000 ; 700,001 ; 1,000 ; 70,000 ;ZAMGdate=27 February 2012 de. In: www.zamg.ac.at. Zentralanstalt für Meteorologie und Geodynamik, 2 April 2011, archived from Original on 20 April 2011, retrieved on 2 April 2011. 
12 April 2011    ;Fukushima    ;11 March – 5 Aprildate=30 January 2012 . JAIF / NHK, 26 April 2011, archived from Original on 27 April 2011, retrieved on 27 April 2011. ; 150,000 ; 150,000 ; 12,000 ; 12,000 ;NSCdate=28 March 2012 . NISA/METI, 12 April 2011, archived from Original on 12 April 2011, retrieved on 12 April 2011. 
12 April 2011    ;Fukushima    ;11 – 17 March 2011    ; 130,000 ; 130,000 ; 6,100 ; 6,100 ;NISA    
7 June 2011    ;Fukushima    ;11 – 17 March 2011    ; 160,000 ; 160,000 ; 15,000 ; 15,000 ;NISAdate=4 April 2012 . NISA/Kantei, 7 June 2011, archived from Original, retrieved on 8 June 2011. 
24 Aug. 2011 ;Fukushima ;11 March–5 April ; 130,000 ; 130,000 ; 11,000 ; 11,000 ;NSCdate=19 April 2012 . In: Atoms in Japan. JAIF, 5 September 2011, archived from Original, retrieved on 20 December 2011. 
15 Sept.2011 ;Fukushima ;March – September ;100,000 ;200,000 ;10,000 ;20,000 ;Kanteidate=30 January 2012 . Kantei, 15 September 2011, archived from Original, retrieved on 17 December 2011. Spent fuel pool measurement on page 205, 207, 210 and 214, total release on page 449. bot=medicbot=medic 
