 Name ; Platform ; License ; Builders: Windows ; Builders: Java ; Builders: other ; Notification ; Integration, IDEs ; Integration, other 
 Apache Gump ; Python ; Apache 2.0 ; unknown ; Ant, Maven 1 ; unknown ; Email ; unknown ; unknown 
 AppVeyor ; Hosted, Self-Hosted ; proprietary ; Visual Studio, MSBuild, Psake ; no ; Custom Script, PowerShell ; Email, HipChat, Slack, Catlight ; no ; GitHub, Bitbucket, Kiln, Windows Azure 
 Azure DevOps Server (formerly TFS and VSTS) ; Cross-platform ; Proprietary, MIT ; MSBuild, Visual Studio ; Ant, Maven, Gradle, Android ; C, C++, Go, Groovy, Java, Node.js, Perl, PHP, Python, Ruby ; Email, SOAP, Catlight ; Visual Studio, Eclipse, IntelliJ IDEA, Android Studio, Visual Studio Code  ; GitHub, Jenkins, Slack, Hipchat, FindBugs, Checkstyle, PMD  
 Bamboo ; Web container ; proprietary ; {{yes|MSBuild,{{cite web|url= NAnt, ; {{yes|Ant,{{cite web|url= Maven 1-2-3 ; {{yes|Custom script, command-line tool, Bash, Xcode,{{cite web|url= Phing,{{cite web|url= Grunt, Grails ; XMPP, Google Talk, Email, RSS, Remote API, HipChat ; IntelliJ IDEA, Eclipse, Visual Studio ; FishEye, Jira, Clover, Bitbucket, GitHub 
Buddy ;Cross-platform ;proprietary ;no ;Ant, Maven, Gradle ;Elixir, Go, Haskell, Node.js, PHP, Python, Ruby, .NET Core ;Desktop, Email, Slack, SMS ;no ;{{yes|  
 Buildbot ; Python ; GPL ; Command-line ; Command-line ; Command-line ; Email, Web, GUI, IRC ; unknown ; unknown 
 BuildMaster ; Cross-platform ; proprietary ; yes ; yes ; Cross-platform command-line ; Email, custom ; no ; Many 
 GitLab ; Cross-Platform, Self-Hosted ; Proprietary, MIT ; Yes ; Maven, Gradle ; SSH, Shell, VirtualBox, Parallels,Docker, Kubernetes) ; Email, Web, Slack and others ; WebIDE ; Many 
 GoCD ; Cross-platform ; Apache 2.0 ; Command-line ; Command-line ; Command-line ; Email, hipchat, Slack, Gerrit, Gitter, Riemann etc ; no ; GitHub 
 Jenkins ; Web container ; Creative Commons and MIT ; MSBuild, NAnt, Batch Script ; Ant, Maven 2, Kundo ; CMake, Gant, Gradle, Grails, Phing, Rake, Ruby, SCons, Python, shell script, command-line ; Android, Email, Google Calendar, IRC, XMPP, RSS, Twitter, Slack, Catlight, CCMenu, CCTray ; Eclipse, IntelliJ IDEA, NetBeans ; Bugzilla, Google Code, Jira, Bitbucket, Redmine, FindBugs, Checkstyle, PMD and Mantis, Trac, HP ALM 
 OpenMake Software Meister ; Cross-platform ; proprietary ; MSBuild, NAnt, Visual Studio ; Ant, Maven 1-2-3 ; Shell script, batch script, cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter ; Email, XMPP, RSS, Systray ; Eclipse, Visual Studio ; Bugzilla, Google Code, Jira, Bitbucket, Redmine, FindBugs, Checkstyle, PMD and Mantis, Trac 
 Semaphore (software) ; Hosted ; proprietary ; no ; Maven, Gradle ; Ruby, Java, Python, Node.js, PHP, Clojure, C/C++, Elixir, Erlang, Go, Rake, command-line ; Email, Campfire, HipChat, Slack, Flowdock, Webhooks, Remote API ; unknown ; GitHub, Bitbucket, Heroku, AWS, Code ClimateCode Climate , Cloud 66 
 Travis CI ; Hosted ; MIT ; no ; Ant, Maven, Gradle ; C, C++, Clojure, Elixir, Erlang, Go, Groovy, Haskell, Java, Node.js, Perl, PHP, Python, Ruby, Rust, Scala, Smalltalk ; Email, Campfire, HipChat, IRC, Slack, Catlight, CCMenu, CCTray ; no ; GitHub, Heroku 
 TeamCity ; Web container ; proprietary ; MSBuild, NAnt, Visual Studio, ReSharper-based .NET code analysis ; Ant, Maven 2-3, Gradle, IntelliJ IDEA-based build and code analysis ; command-line, PowerShell, Xcode, Rake, FxCop ; Email, XMPP, RSS, IDE, SysTray, Catlight ; Eclipse, Visual Studio, IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm ; JetBrains YouTrack, Jira, Bugzilla, FishEye, FindBugs, PMD, dotCover, NCover 
 Vexor ; Hosted ; proprietary ; no ; unknown ; Ruby, Clojure, Scala, Python, Node.js, Go, Rust, Haskell ; Email, HipChat, Slack ; unknown ; GitHub, Bitbucket, Gitlab 
