 Manufacturer ; Module ; Transceiver Chip ; Antenna ; Sleep ; TX ; RX ; TX Power ; Sensitivity ; PCB Size ; Released ; Interfacing ; Protocol stacks 
 FlexiPanel Ltd ; EasyBee  summary  datasheet ; Texas Instruments CC2420  datasheet  errata ; integral ; ; 18mA ; 20mA ; 0dBm ; ; 26mm × 20mm ; Mar, 2008 ; ? ; ZigBee stack 
 Embit ; EMB-TRX169PA, 169MHz  webpage ; CC1120  datasheet ; U.FL connector ; <1μA ; 400 mA @ +27 dBm ; 27mA (full sens.) ; 27dBm ; -122dBm ; 16mm × 26mm ; 2013 ; UART, SPI, JTAG ; Wireless M-Bus stack 
 Microchip Technology ; MRF24J40MA  datasheet ; MRF24J40  datasheet ; PCB trace ; 2μA ; 23mA ; 19mA ; 0dBm ; –94dBm ; 17.8mm × 27.9mm ; Jun, 2008 ; SPI ; Microchip ZigBee  MiWi  MiWi P2P 
