 Maker ; Model ; Intro year ; Screen size (inch) ; Self-lit ; Screen type ; Dimensions (HxWxD) ; Weight ; Screen pixels ; Pixel density (in pixels per inch) ; Touch screen ; Button for Page-turn ; Wireless network ; Text-to-speech ; Folders ; Internal storage ; micro SDHC ; Web browser ; Library DRM compatible ; USB Content Management 
 Amazon.com ; Kindle Oasis Wi-Fi/3G ; 2016 ; 6in7in ; Yes ; E Ink Carta ;  ; 131g (4.6oz) (6 in, no cover)194g (6.8oz) (7 in, no cover) ; 1080 x 14401264 x 1680 ; 300ppi ; 2-Point ; Yes, one side ; Wi-Fi/CDMA, GSM ; No ; Yes ; 4, 8 or 32 GB (8.0 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle Paperwhite (3rd generation) Wi-Fi/3G ; 2015 ; 6in ; Yes ; E Ink Carta ;  ; 207g (7.3oz) ; 1080 x 1430 ; 300ppi ; 2-Point ; No ; Wi-Fi/CDMA, GSM ; No ; Yes ; 4 GB (3.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle Voyage ; 2014 ; 6in ; Yes ; E Ink Carta ;  ; 180g (6.3oz) ; 1080 x 1430 ; 300ppi ; 2-Point ; Sensors on both sides ; Wi-Fi/CDMA, GSM ; No ; Yes ; 4 GB (3.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle (7th generation) ; 2014 ; 6in ; No ; E Ink Pearl ;  ; 191g (6.7oz) ; 600 × 800 ; 167ppi ; yes ; no ; Wi-Fi ; No ; Yes ; 4 GB (3.25 GB) ; No ; Yes ; US only ; No 
 Barnes & Noble ; Nook Simple Touch with GlowLight ; 2012 ; 6in ; Yes ; E Ink Pearl ;  ; 212g (7.5oz) ; 600 × 800 ; 167ppi ; Yes ; Yes ; Wi-Fi ; No ; Yes ; 2 GB ; yes ; Yes, hidden web browser ; Yes ; No 
 Barnes & Noble ; Nook GlowLight ; 2013 ; 6in ; Yes ; E Ink Pearl ;  ; 175g (6.2oz) ; 758 × 1024 ; 212ppi ; Yes ; No ; Wi-Fi ; No ; Yes ; 4 GB (2.5 GB usable) (512 MB for user content) ; No ; Yes ; Yes ; Yes 
 Barnes & Noble ; Nook GlowLight Plus ; 2015 ; 6in ; Yes ; E Ink Carta ;  ; 195g (6.9oz) ; 1080 × 1430 ; 300ppi ; Yes ; No ; Wi-Fi ; No ; Yes ; 4 GB (2.5 GB usable) (512 MB for user content) ; No ; Yes ; Yes ; Yes 
 Barnes & Noble ; Nook Glowlight 3 ; 2017 ; 6in ; Yes ; E Ink Carta ; ; 195g (6.9oz) ; 1072 × 1448 ; 300ppi ; Yes ; Yes ; Wi-Fi ; No ; Yes ;8 GB (6.5 GB usable) ; No ; Yes ; Yes ; Yes 
 Bookeen ; Cybook Odyssey HD FrontLight ; 2012 ; 6in ; Yes ; E Ink Pearl + HSIS ;  ; 212g (7.5oz) ; 758 × 1024 ; 212ppi ; Yes ; Yes ; Wi-Fi (n) ; No ; Yes ; 2 GB ; yes ; Yes ; Yes ; No 
 Bookeen ; Cybook Odyssey ; 2013 ; 6in ; No ; E Ink Pearl + HSIS ;  ; 180g (6.35oz) ; 600 × 800 ; 167ppi ; Yes ; Unknown ; Wi-Fi (n) ; No ; Yes ; 2 GB ; yes ; Yes ; Yes ; No 
 Bookeen ; Cybook Orizon ; 2010 ; 6in ; No ; SiPix ;  ; 245g (8.6oz) ; 600 × 800 ; 167ppi ; Yes ; Yes ; Wi-Fi (n), Bluetooth 2.1+EDR ; No ; Yes ; 2 GB ; yes ; Yes ; Yes ; No 
 Bookeen ; Cybook Muse HD ; 2016 ; 6in ; Yes ; E Ink Carta ;  ; 180g (6.3oz) ; 1072 × 1448 ; 300ppi ; Yes ; Yes ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB ; yes ; Yes ; Yes ; No 
