 Model ; CPU/APUPCIe Link ;PCIe ;PCIe ;PCIe ;SATA ;USB3.1 Gen2 + 2.0 ;RAID ;Overclocking ;TDP (W) ; Chipset lithography ; Features / notes ; Part number 
 Model ; CPU/APUPCIe Link ; Chipset PCIe4.0 Lanes ; CrossFire ; SLI ;SATA ;USB3.1 Gen2 + 2.0 ;RAID ;Overclocking ;TDP (W) ; Chipset lithography ; Features / notes ; Part number 
TRX40 ; 8 ; 8× ;yes ;yes ; 4 (+ up to 2 × 4 extra) ; 8 + 4 ; 0,1,10 ;yes ; 15 W ; 14nm ;unk ;unk 
