 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; Blink ; KHTML ; Presto 
 Color modeThere are 15 combinations of the color modes in PNG but not all modes are available in every image editor. ; True color ; 3.1 ; rowspan="3" yes ; 1.0 ; 85 ; rowspan="3" yes ; rowspan="3" yes ; 1.0 
 Color modeThere are 15 combinations of the color modes in PNG but not all modes are available in every image editor. ; Grayscale ; 3.1 ; 1.0 ; 85 ; 1.0 
 Color modeThere are 15 combinations of the color modes in PNG but not all modes are available in every image editor. ; Palette-based ; 3.1 ; 1.0 ; 85 ; 1.0 
 Alpha channel ; Alpha channel ; 3.1 ; yes ; 1.0 ; 85 ; yes ; yes ; 1.0 
 Gamma correction ; Gamma correction ; 5.0url-status=dead  ; yes ; 3.5 ; incorrectgroup=n ; dunno ; nopublisher=KDE ; partialname=gamma-correction 
 Color correction ; Color correction ; 5.0url-status=dead  ; yes ; 1.9 ; dunno ; dunno ; dunno ; no 
 Interlacing ; Interlacing ; incorrectIn Trident, interlaced PNGs were displayed progressively, but in 1D instead of 2D. ; dunno ; 1.0 ; dunno ; dunno ; 4.0 ; 1.0 
