Client ;Developer ;First public release ;Monthly active users ;Registration requirement ;License ;Operating system ;Operating system ;Operating system ;Operating system ;Operating system ;Operating system ;E2EE 2-user chat ;E2EE group chat ;File transfer ;Voice recording ;Client ;Voice chat ;Video chat ;Read receipts ;Editing sent messages ;Deleting sent messages ;Custom  emoji ;Stickers ;Self-destructing messages ;Lock screen ;Screenshot protection (Android only)[1] ;App screenshot notification ;User screenshot notification[2] ;Local encrypted ;Themes / skins ;Plugins ;Peer-to-peer text chat ;Open source servers ;Federated servers ;Privacy law compliant ;Client 
Client ;Developer ;First public release ;Monthly active users ;Registration requirement ;License ;Windows ;macOS ;Linux ;Web ;Android ;iOS ;E2EE 2-user chat ;E2EE group chat ;File transfer ;Voice recording ;Client ;Voice chat ;Video chat ;Read receipts ;Editing sent messages ;Deleting sent messages ;Custom  emoji ;Stickers ;Self-destructing messages ;Lock screen ;Screenshot protection (Android only)[1] ;App screenshot notification ;User screenshot notification[2] ;Local encrypted ;Themes / skins ;Plugins ;Peer-to-peer text chat ;Open source servers ;Federated servers ;Privacy law compliant ;Client 
Discord ;Discord Inc. ;06 ;250 million (2019) ;Email ;Proprietary Freeware ;yes ;yes ;yes ;yes ;yes ;yes ;no ;no ;yes ;no  ;Discord ;yes ;yes ;no ;yes ;yes ;yes ;no ;no ;no  ;no ;no ;no ;? ;no ;no ;no ;no  ;no  ;no ;Discord 
eBuddy ;Paulo Taylor ;09 ; ;Phone number ;Proprietary Freeware ;no ;no ;no ;no ;yes ;yes ;yes  ;yes  ;yes  ;yes  ;eBuddy ;yes  ;yes  ;yes ;no ;partial ;no ;no ;yes  ;yes ;? ;? ;? ;? ;yes ;no ;no ;no  ;no  ;no ;eBuddy 
Facebook Messenger ;Facebook, Inc. ;09 ;1300 million (2019) ;Facebook account  ;Proprietary Freeware ;yes ;yes ;no ;yes ;yes ;yes ;Optional ;no ;yes  ;yes ;Facebook Messenger ;yes ;yes ;yes ;no  ;yes ;no ;yes ;yes  ;no ;? ;? ;? ;? ;yes ;yes ;no ;no  ;no  ;no ;Facebook Messenger 
FireChat ;Open Garden ;03 ; ;Email ;Proprietary Freeware ;no ;no ;no ;no ;yes ;yes ;Optional ;yes ;yes ;yes  ;FireChat ;yes ;yes ;yes ;no ;no ;no ;yes ;no ;no ;? ;? ;? ;? ;yes ;no ;Optional ;yes  ;yes  ;no ;FireChat 
Gadu-Gadu ;Łukasz Foltyn / GG Network S.A. ;15 ; ;Email ;Proprietary Freeware ;yes ;yes ;yes ;yes ;yes ;yes ;no  ;no ;yes ;yes  ;Gadu-Gadu ;yes  ; ; ; ; ;no ; ; ; ;? ;? ;? ;? ;  ;no ;no ;no  ; ; ;Gadu-Gadu 
Gajim ;Yann Le Boulanger ;21 ;  ;Email ;GPL ;yes ;no ;yes ;no ;no ;no ;Optional ;yes2Plug-in ;yes ;no  ;Gajim ;yes ;yes  ; ;yes  ; ;yes  ; ;no  ; ;? ;? ;? ;? ;yes ;yes ;no ;yes  ;yes  ;no ;Gajim 
ICQ ;Mail.Ru ;11 ;  ;Phone number ;Proprietary Freemium adware ;yes ;yes ;yes ;yes ;yes ;yes ;no ;no ;yes ;no  ;ICQ ;yes ;yes  ; ; ;  ;yes  ; ; ; ;? ;? ;? ;? ;yes ;yes ;no  ; ; ; ;ICQ 
Jami ;Savoir-faire Linux Inc. ;2014 ;  ;N/A ;GPLv3 ;yes ;yes ;yes ;no ;yes ;yes ;yes ;No groupchat ;yes  ;yes  ;Jami ;yes ;yes  ;no ;no ;partial ;no ;no  ;no  ;no  ;? ;? ;? ;? ;yes ;no  ;yes ;n/a  ;n/a  ;yes ;Jami 
Jitsi ;Emil Ivov ;2003 ;  ; ;LGPL ;yes ;yes ;yes ;yes ;yes ;yes ;Optional ;  ;yes ;yes  ;Jitsi ;yes ;yes  ; ; ;  ;Yes  ; ;no ;no  ;? ;? ;? ;? ;  ;yes ;no ;yes  ;yes  ;no ;Jitsi 
