 IRC Bot ; Primary developers ; Software license ; Operating system ; Programming language ; First public release - date (version) ; Latest version - date (version) ; Notable features ; Function scope ; Website 
 Rh| ErebotErebot ; François Poirotte ; GPL-3.0 ; Cross-platform ; PHP ; 2010-10-09 ; 2011-05-08 ; Extensible with many modules and support for multiple networks, multiple identities, SSL/TLS, STARTTLS, IdentD and various IRC daemons extensions. Can be used as a framework to create advanced channel bots. ; games ;  
 Rh| ErwinErwin ; Idar Lund ; GPL-2.0+ ; Cross-platform ; Perl ; 2004-04-05 (1.0-beta1) ; 2017-03-19 (1.2.0) ; Easily expandable by writing new modules. ; Replies to users from database. ;  
 Rh| FoxBotFoxBot ; Lee Watson ; GPL-3.0 ; Cross-platform ; Java ; ? ; 2013-09-06 (0.9) ; Command framework is designed to make writing commands easy. Has simple and powerful permissions system. Simple and fully explained config. ; ? ;  
 Rh| FoxEyeFoxEye ; Andriy Grytsenko ; GPL ; Unix-like ; C ; 2011-01 (beta) ; 2011-02-24 (0.9b10) ; Multithreaded, multinetworked. Encoding chosen per user or network. Extendible by plugins, can be used as client or whatever. Currently supported scripts: Lua, Tcl. ; kit to build internet client / server / gateway, primary for messaging networks ;  
 Rh| GambotGambot ; Derek Hoagland ; GPL ; Unix-like ; Perl ; 2011-1-1 ; 2011-07-16 (1.0) ; Framework for creating bots. Messages handled completely asynchronously. Extensible in any programming language. Can be updated without reconnecting, restarting, or reloading. ; Twitter and other feeds, games / memes,  ;  
 Rh| GozerbotGozerbot ; Bart Thate ; BSD ; Unix-like ; Python ; ? ; ? (1.0.1) ; IRC and XMPP bot, can be bridged with Google Wave  ; ? ;  
 Rh| GraystoneGraystone ; Geoff Woollams ; MIT ; Cross-platform ; C# ; 2015-10-08 ; 2015-10-09 (0.1) ; IRC commands can launch any command line or http request to allow any program or script to control the bot by its output. MySQL support for non user initiated actions and 3rd party integration. ; ? ;  
 Rh| guppyguppy ; Svetlana Tkachenko ; GPL ; Cross-platform ; Python ; 2011-03-20 ; 2012-12-11 (0.4.3) ; easy to install, modular structure ; multi-purpose ;  
 Rh| IbidIbid ; Jonathan Hitchcock, Michael Gorven, Stefano Rivera ; GPL3, core under MIT ; Unix-like ; Python, Twisted in IM protocols ; ? (0.1.0) ; ? (0.1.1) ; Twisted engine allows connecting to multiple IM sources, including IRC, XMPP, SILC, Campfire, NMDC ; ? + plugin "factoids" responds to users from database ;  
 Rh| InfobotInfobot ; Kevin Lenzo ; Artistic License ; Unix-like ; Perl ; 2004-08 ; 2008-08-01 (1.5.3) ; ? ; replies to users from database ;  
 Rh| IrcBotSupybot ; Marlinc ; BSD ; Unix-like ; PHP ; ? (0.1) ; ? (1.2) ; ? ; ? ;  
 Rh| jennijenni ; Michael Yanovich ; EFLv2 ; Unix-like ; Python (2) ; ? ; ? ; Threaded, general purpose, includes some games. Easily expandable by writing new modules. ; user management, conversation / lookup, games ;  
 Rh| irccdirccd ; David Demelier ; ISC ; Cross-platform ; C++17 and JavaScript ; 2013-09-13 (1.0.0) ; 2019-08-15 (3.0.0) ; Multiple servers, rules filtering, templates system, cross-platform, extensible with Javascript and C++ plugins ; bot framework ;  
 Rh| JerkbotJerkbot ; Jason Stephenson ; Artistic License 2.0 ; Cross-platform ; Sleep ; 2014-02-10 (1.0) ; 2017-08-29 (1.7.65) ; Configurable chatter bot, written as jIRCii script ; responsive chatter + learns + modules ;  
 Rh| JSONBOTJSONBOT ; Bart Thate ; MIT ; Unix-like ; Python ; 2010-04 ; 2012-03-23 (0.84.4) ; Beta ;  ;  
 Rh| JZBotJZBot ; Alexander Boyd, Maximilian Dirkmann, James Stoker ; LGPL ; Cross-platform ; Java ; ? ; ? ; ? ; feeds, werewolf / maffia, karma system, reminders ;  
 Rh| KGB ; Martín Ferrari and Damyan Ivanov ; GPL-2+ ; Cross-platform ; Perl ; 2008-07-14 (Git) ; 2014-09-17 (1.3.3 see commits) ; KGB is a system that provides notifications on IRC for commits made to Git, Subversion and CVS repositories.  ; notifications on code commits ;  
 Rh| LambdabotLambdabot ; Andrew J. Bromage et al. ; MIT ; Unix-like ; Haskell ; ? (1.0) ; 2011-01-20 (4.2.3.2) ; Many plugins, usable offline as a Haskell development tool, embeddable in GHCi ; haskell development tool ;  
 Rh| LimnoriaLimnoria ;  ; BSD ; Cross-platform ; Python ; ?  ; 2017-03-30 (2017.03.30)  ; See Supybot ; A maintained fork of Supybot ;  
 Rh| MozbotMozbot ; Ian Hickson, Chris Crews ; MPL ; Cross-platform ; Perl ; ? ; ? ; ? ; services to developer communities ;  
 Rh| MrBot - AwesomeBot ; MattMc ; Apache v2 ; Cross-platform ; Java ; November '13 ; 2014-06-01 ; A Semi-Advanced Java Bot with a ton of feactures and still more coming... join #AwesomeBot on espernet for more info.. ; factoids + lastseen ;  
 Rh| nibblrjrnibblrjr ; Kirjava ; None ; Cross-platform ; Javascript ; ? ; ? ; bot framework for creating custom behaviour dynamically ; Bot framework ;  
 Rh| node-ircnode-irc ; Martyn Smith ; GPLv3 ; Unix-like ; Javascript ; ? ; 2015-01-16 (0.3.9) ; Node- native non blocking ; ? ;  
 Rh| PircBotPircBot ; Paul Mutton ; GPL ; Cross-platform ; Java ; 2001-08-01 ; 2009-12-14 (1.5.0) ; Framework for creating bots ; framework to create bots ;  
 Rh| pmxbotpmxbot ; YouGov, Jamie Turner, Chris Mulligan ; MIT ; Unix-like ; Python 3 ; ? ; ? ; Designed to be extensible for a work IRC network ; conversation, search, games ;  
 Rh| Ruby-rbotRuby-rbot ; ruby-rbot ; GPL ; Unix-like ; Ruby ; ? ; ? ; flexible plugin system ; Twitter & RSS feeds, searches, games ;  
 Rh| RubybotRubybot ; umby24 ; GPL-3.0 ; Cross-platform ; Ruby ; ? ; 2013-10-30 (4.2) ; Simple, yet easily extensible. ; usermanagement ;  
 Rh| SchongoSchongo ; Selig, Posiden, Wil ; ? ; Cross-platform ; Python 3 ; ? ; ? ; Focus on simplicity, highly extandable module system, rapid development cycle ; internet searches ;  
 Rh| Shocky ; Shockah, clone1018 ; GPL-2.0 ; Cross-platform ; Java ; ? ; ? ; A Very advanced Java irc bot, that supports all kinds of stuff ; user management, factoids, games, karma system ;  
 Rh| sircbot ; Alpine Linux ; GPL-2.0 ; Unix-like ; C (Lua scriptable) ; ? ; 2011-12-15 ; Simple IRC bot for shell and lua scripts ; ? ; git wiki 
 Rh| SopelSopel ; Elsie Powell, Dimitri Molenaars, Elad Alfassa, Ari Koivula ; EFLv2 ; Cross-platform ; Python ; 2012-07-15 (3.0.0) ; 2018-04-06 (6.5.3) ; SSL, (un)loading of modules at runtime, threaded, user/channel settings database, Python 3 support. (Formerly Willie, based originally on phenny) ; Twitter & other feeds, internet searches, meetingbot ;  
 Rh| TennuTennu ; Havvy (Ryan Scheel) ; ISC ; Cross-platform ; Javascript ; 2012-03-08 (1.0.0) ; 2016-06-22 (4.9.0) ; Node.js, Plugin architecture, Promise driven ; user management ;  
 Rh| Ultros ; gdude2002 and rakiru ; Artistic License 2.0 ; Cross-platform ; Python2 ; 2013-04-08 (Git) ; 2014-09-25 (1.1.0+ - see commits) ; Python IRC bot with an extensible plugin and protocol system, and a package manager. Also supports mumble. ; internet searches, games ; git site 
 Rh| VikingBotVikingBot ; Tor Henning Ueland ; GPL-3.0 ; Unix-like ; PHP ; ? ; 2013-10-09 ; Simple PHP based IRC bot with support for secure IRC servers and plugin support ; bot stats ;  
 Rh| YauibYauib ; Julien Palard ; Simplified BSD ; Cross-platform ; Python ; 2011-03-22 ; ? ; Plugins can be written in any language ; takes all pubmsg and priv and tries to match the first word as a command to a directory with exec files and the rest as parameters ;  
