 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0091 ; Legacy Delayed Delivery ; Obsolete ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; Yes 
 0092 ; Software Version ; Draft ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; Yes 
 0093 ; Roster Item Exchange ; Deprecated ; unk ; unk ; Yes ; Yes ; unk ; No ; Yes ; unk ; No ; No 
 0095 ; Stream Initiation  ; Deprecated ; unk ; unk ; unk ; No ; unk ; No ; Yes ; unk ; No ; No 
 0096 ; SI File Transfer ; Deprecated ; unk ; unk ; unk ; No ; unk ; No ; Yes ; Yes ; Yes ; Yes 
 0106 ; JID escaping ; Draft ; Yes ; unk ; unk ; No ; Yes ; No ; Yes ; Yes ; Yes ; Yes 
 0107 ; User Mood ; Draft ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; Yes 
 0108 ; User Activity ; Draft ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; Yes 
 0114 ; Jabber Component Protocol ; Historical Use ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0115 ; Entity Capabilities ; Draft ; Yes ; unk ; unk ; No ; Yes ; No ; Yes ; Yes ; Yes ; Yes 
 0118 ; User Tune ; Draft ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; Yes 
 0122 ; Data Forms Validation ; Draft ; unk ; unk ; unk ; No ; No ; No ; Yes ; No ; Yes ; No 
 0124 ; Bidirectional-streams Over Synchronous HTTP (BOSH) ; Draft ; Yes ; unk ; Contrib. ; No ; Yes ; No ; Yes ; Yes ; Yes ; Yes 
 0126 ; Invisibility ; Approved ; unk ; unk ; unk ; No ; Yes ; No ; Yes ; Yes ; Yes ; No 
 0128 ; Service Discovery Extensions ; Approved ; No ; unk ; unk ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; Yes 
 0130 ; Waiting Lists ; Deprecated ; No ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0131 ; Stanza Headers and Internet Metadata ; Draft ; No ; unk ; unk ; No ; unk ; Yes ; No ; unk ; Yes ; Yes 
 0133 ; Service Administration ; Approved ; Yes ; unk ; unk ; No ; Yes ; Yes ; No ; unk ; Yes ; Yes 
