 Description ; Spanish ; Spanish ; Portuguese ; Portuguese 
 Description ; Spelling ; Pronunciation ; Spelling ; Pronunciation 
palatal "l" ; ll ; ʎ (~ ʝ)The phoneme represented by ⟨ll⟩ has merged with the one represented by ⟨y⟩ in most dialects, commonly realized as [ʝ], or, in River Plate Spanish, as [ʒ] or as [ʃ]. ; lh ; ʎ 
palatal "n" ; ñ ; ɲ ; nh ; ɲ (EP), j̃ (BP) 
palatal "y" ; y ; ʝ ; i ; j 
