 IDE ; Developer ; Latest stable release ; Platform ; License 
 R Tools for Visual Studio ; Microsoft ; 10, v1.0 RC3 ; Microsoft Windows ; Apache License 2.0 
 RStudio ; RStudio, Inc. ; 29, v1.1.463 ; Cross-platform ; AGPL 
