Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Housing Data Set ;Median home values of Boston with associated home and neighborhood attributes. ;None. ;506 ;Text ;Regression ;1993 ;Belsley, David A., Edwin Kuh, and Roy E. Welsch. Regression diagnostics: Identifying influential data and sources of collinearity. Vol. 571. John Wiley & Sons, 2005. ;D. Harrison et al. 
The Getty Vocabularies ;structured terminology for art and other material culture, archival materials, visual surrogates, and bibliographic materials. ;None. ;large ;Text ;Classification ;2015 ; s2cid = 6667472  ;Getty Center 
Yahoo! Front Page Today Module User Click Log ;User click log for news articles displayed in the Featured Tab of the Today Module on Yahoo! Front Page. ;Conjoint analysis with a bilinear model. ;45,811,883 user visits ;Text ;Regression, clustering ;2009 ;Li, Lihong, et al. "Unbiased offline evaluation of contextual-bandit-based news article recommendation algorithms." Proceedings of the fourth ACM international conference on Web search and data mining. ACM, 2011.Yeung, Kam Fung, and Yanyan Yang. "A proactive personalized mobile news recommendation system." Developments in E-systems Engineering (DESE), 2010. IEEE, 2010. ;Chu et al. 
British Oceanographic Data Centre ;Biological, chemical, physical and geophysical data for oceans. 22K variables tracked. ;Various. ;22K variables, many instances ;Text ;Regression, clustering ;2015 ; pmid = 16300800  ;British Oceanographic Data Centre 
Congressional Voting Records Dataset ;Voting data for all USA representatives on 16 issues. ;Beyond the raw voting data, various other features are provided. ;435 ;Text ;Classification ;1987 ; s2cid = 433708  ;J. Schlimmer 
Entree Chicago Recommendation Dataset ;Record of user interactions with Entree Chicago recommendation system. ;Details of each users usage of the app are recorded in detail. ;50,672 ;Text ;Regression, recommendation ;2000 ;Obradovic, Zoran, and Slobodan Vucetic.Challenges in Scientific Data Mining: Heterogeneous, Biased, and Large Samples. Technical Report, Center for Information Science and Technology Temple University, 2004. ;R. Burke 
Insurance Company Benchmark (COIL 2000) ;Information on customers of an insurance company. ;Many features of each customer and the services they use. ;9,000 ;Text ;Regression, classification ;2000 ; pages = 1–43  pmid = 18244518  ;P. van der Putten 
Nursery Dataset ;Data from applicants to nursery schools. ;Data about applicant's family and various other factors included. ;12,960 ;Text ;Classification ;1997 ; pages = 145–160 Lizotte, Daniel J., Omid Madani, and Russell Greiner. "Budgeted learning of nailve-bayes classifiers." Proceedings of the Nineteenth conference on Uncertainty in Artificial Intelligence. Morgan Kaufmann Publishers Inc., 2002. ;V. Rajkovic et al. 
University Dataset ;Data describing attributed of a large number of universities. ;None. ;285 ;Text ;Clustering, classification ;1988 ; isbn = 9780934613002  ;S. Sounders et al. 
Blood Transfusion Service Center Dataset ;Data from blood transfusion service center. Gives data on donors return rate, frequency, etc. ;None. ;748 ;Text ;Classification ;2008 ; doi=10.1016/j.eswa.2008.07.018 page = 173  ;I. Yeh 
Record Linkage Comparison Patterns Dataset ;Large dataset of records. Task is to link relevant records together. ;Blocking procedure applied to select only certain record pairs. ;5,749,132 ;Text ;Classification ;2011 ;Schmidtmann, Irene, et al. "Evaluation des Krebsregisters NRW Schwerpunkt Record Linkage." Abschlußbericht vom 11 (2009). pmid = 21352952  ;University of Mainz 
Nomao Dataset ;Nomao collects data about places from many different sources. Task is to detect items that describe the same place. ;Duplicates labeled. ;34,465 ;Text ;Classification ;2012 ;Candillier, Laurent, and Vincent Lemaire. "Design and Analysis of the Nomao challenge Active Learning in the Real-World." Proceedings of the ALRA: Active Learning in Real-world Applications, Workshop ECML-PKDD. 2012.Marquez, Ivan Garrido. "A Domain Adaptation Method for Text Classification based on Self-adjusted Training Approach." (2013). ;Nomao Labs 
Movie Dataset ;Data for 10,000 movies. ;Several features for each movie are given. ;10,000 ;Text ;Clustering, classification ;1999 ;Nagesh, Harsha S., Sanjay Goil, and Alok N. Choudhary. "Adaptive Grids for Clustering Massive Data Sets." SDM. 2001. ;G. Wiederhold 
Open University Learning Analytics Dataset ;Information about students and their interactions with a virtual learning environment. ;None. ;~ 30,000 ;Text ;Classification, clustering, regression ;2015 ;Kuzilek, Jakub, et al. "OU Analyse: analysing at-risk students at The Open University." Learning Analytics Review (2015): 1–16.Siemens, George, et al. Open Learning Analytics: an integrated & modularized platform. Diss. Open University Press, 2011. ;J. Kuzilek et al. 
Mobile phone records ;Telecommunications activity and interactions ;Aggregation per geographical grid cells and every 15 minutes. ;large ;Text ;Classification, Clustering, Regression ;2015 ;bibcode=2015NatSD...250055B ;G. Barlacchi et al. 
