 ; HTML5 standard ; HTML web browser features ; Adobe Flash/AIR features 
 Date started ; Work began in 2003  Working Draft as of 2011{{cite web ;title=HTML Current Status ;publisher=World Wide Web Consortium ;url= }} ; n/a ; Work began in 1996{{cite journal ;last=Shankland ;first=Stephen ;title=HTML vs. Flash: Can a turf war be avoided? ;publisher=CNET News ;url= ;date=February 3, 2010 ;accessdate=December 26, 2010 }}  Version 1 released in 1997 
 Desktop operating systems ; n/a ; AmigaOS, MorphOS, Apple macOS, Linux, Microsoft Windows ;  Apple macOS,  Linux, Microsoft Windows 
 Mobile operating systems ; n/a ; {{yes|  Android 2.3 and newerMobile HTML5 Support date=2013-07-10 , TheHTML5Test.com Apple iOS 6 and newer Symbian Belle BlackBerry OS 7 and 10 Windows Phone 7 and newer 
