 Feature ; Android ; iOS ; Tizen ; Sailfish OS ; Ubuntu Touch 
Safe driving mode ;No2 3rd party software;11+;?;?;? 
Turn-by-turn navigation ;2+;6+;?;Yes;No2 3rd party software 
Offline maps ;No2 3rd party software Google Maps,Official Google Blog: Navigate and search the real world ... online or off  Here WeGo;6+{{cite web|url= new iOS 6 Maps support automatic offline use for a wide area|url-status=live|archiveurl=;?;No2 3rd party software;No2 3rd party software 
Alternative routes in maps ;Yes;5+;?;No2 3rd party software;No2 3rd party software 
