 Country ; Active ; In orbit ; Decayed ; Total 
 CHN ; 352 ; 407 ; 84 ; 491 
 JPN ; 90 ; 183 ; 65 ; 248 
 IND ; 64 ; 101 ; 12 ; 113 
 ISR ; 17 ; 20 ; 6 ; 26 
 ROK ; 15 ; 22 ; 5 ; 27 
