 Feature ; Android ; iOS ; Tizen ; Sailfish OS ; Ubuntu Touch 
Default web browser/engine ; Blink ; WebKit ; WebKit ; Gecko;Qt WebEngine (based on Blink) 
Major web browser available ; Chrome for Android, Opera, Firefox, Microsoft Edge ; Safari, Chrome for iOS, Opera Touch, Firefox, Microsoft Edge ; Tizen Browser (Based on UC Browser) ; Sailfish Browser (Firefox), Webcat (WebKit), Web Pirate (WebKit), others via Android (Firefox, Chrome, Opera); Morph Browser 
Browser extensions ;No2 NoFAQ – Google Chrome  3rd party softwareFind and install Add-ons on Firefox for Android | Firefox for Android Help ;8+Ten Best iOS 8 Safari Extensions For iPhone And iPad To Enhance Your Web Browsing Experience ;No;No;No 
Browser direct Internet connection (increased resilience to outages) ;Yes;Yes;Yes;?;? 
Browser undo close tab ;Google Chrome for AndroidHow to reopen a closed tab in Chrome for Android – CNET ;8+The Quick & Easy Secret to Reopen Accidentally Closed Tabs in iOS 8's Safari ;No;No;No 
Browser keeps windows open on shutdown or crash ;2.3+ Google Chrome but not on the deprecated AOSP browser;Yes;No;Yes;Yes 
Browser keeps windows open when cleaning cookies ;Yes;3rd party software;?;Yes;Yes 
Browser search engine options ;Many;Bing, Google, Yahoo! Search, DuckDuckGo;Bing, Google, Yahoo! Search ;Bing, Google, Yahoo, Yandex. Baidu, DuckDuckGo, StartPage, Searx, ixquick, Swisscows, Qwant, Seznam, Hulbee via openrepos[] ;Baidu, Bing, DuckDuckGo, Ecosia, Google, lilo, Peekier, Qwant, Wikipedia, Yahoo{{Citation|title=GitHub - ubports/morph-browser|date=2019-11-29|url= 
Browser find on page ;1.5+;Yes;Yes;1.1.2+Search in browser ;Yes 
Browser–email save images ;Yes;Yes;?;Yes;Yes 
Browser–email save PDFs ;Yes;YesApple – iPhone – Tips and Tricks . Apple.com. Retrieved on 2012-07-03.;Yes;Yes;Yes 
Browser save audio/video ;Yes, but only links, not embedded media;13+,5+: 3rd party software;Yes;Yes;Yes 
Browser save page ;Yes, Google Chrome 55+Chrome for Android now lets you download webpages and read them offline ;6+: Offline Reading List,iOS 6: All the New Features Coming Soon to Your iPhone and iPad . Gizmodo.com (2012-06-11). Retrieved on 2012-07-03. 3rd party softwareApp Store – Instapaper . Itunes.apple.com (2012-06-02). Retrieved on 2012-07-03.;Yes;?;Yes 
Browser save any file ;Yes, Chrome for Android.;13+,5+: When an app that can handle/open the filetype is installed (excluding audio/video – requires 3rd party softwareDownload any file on your iPhone with iDownloader Pro . Iphone Active (2011-12-02). Retrieved on 2012-07-03.),Downloading and uploading files through Safari iOS . Ask Different (2011-09-22). Retrieved on 2015-09-13.;?;Yes;Yes 
Browser force enable zoom ;No, not working anymore on Android 4.4Android Issue 62801: KitKat WebView no longer allows force enable zoom , 3rd party browsers;YesHow to Re-Enable Zoom for Websites That Block It in Safari for Your iPhone ;?;?;? 
Browser text reflowBrowser Text Reflow – WP7 Internet Explorer vs Android . Youtube.com (2011-12-07). Retrieved on 2012-07-03. ;No, removed on Android 4.4Text Reflow Removed From WebViews In KitKat, Probably Not Coming Back ;5+: Only on pages with reader mode availableInside Apple's iOS 5: Safari Reader, private browsing, tabs on iPad . Appleinsider.com (2011-06-07). Retrieved on 2012-07-03. 3rd party browsers on prior versionsiOS browsers that allow font scaling and text reflow . 456 Berea Street (2011-01-05). Retrieved on 2012-07-03.;No;No;No 
Browser Reader Mode ;No2No,pipe 3rd party software;5+;Yes;NoBrowser reader mode – together.jolla.com ;No 
Browser open PDFs without storing ;No;Yes;No;No;No 
Browser file upload ;2.2+;9+,6–8: Limited;Yes;1.0.7+Add file upload functionality to web browser ;Yes 
Browser form navigation ;Next button;Previous, Next, AutoFill, and Done buttons;?;?;? 
Browser private browsing mode ;3.0+ with AOSP browserAndroid updates guide: All the features of every version . Reviews.cnet.co.uk. Retrieved on 2012-07-03. or with Chrome for Android;5+;Yes;1.1.6+Private mode in web browser ;Yes 
Offline web apps ;Yesiphone – Android Offline Webapp Resources – Stack Overflow . Stackoverflow.com. Retrieved on 2012-07-03.;YesHow to create offline webapps on the iPhone | The CSS Ninja – All things CSS, JavaScript & HTML . Thecssninja.com. Retrieved on 2012-07-03.Safari Web Content Guide: Configuring Web Applications . Developer.apple.com. Retrieved on 2012-07-03.Apple – Web apps . Apple.com. Retrieved on 2012-07-03.;No;?;Yes 
HTTP Live Streaming ;3+;3+;No;?HLS in sailfish ;Yes 
WebRTC ;YesChrome 29 for Android is out: WebRTC and Web Audio support, improved scrolling, and new color picker for Web forms ;11+{{cite web|url= 9 best iOS 11 features Apple didn't talk about onstage|website=The Verge|accessdate=2017-06-05|url-status=live|archiveurl=;No;No;Yes 
