 Model ; Type ; Capacity ; Speed (km/h) ; Speed (mph) ; Range (km) ; Range (mi) ; Door-to-doorcapable ; Price 
 A³ Vahana A³ VahanaA³ Vahana being part of Airbus' Urban Air Mobility concept  ; ? ; ? ; ? km/h ; ? ; ? km ; ? ; ? ; ? € 
 Aeris Naviter AeroQuad Loz Blain "AeroQuad: the foldable, self-stabilizing VTOL personal flying platform" March 19, 2009 gizmag.com  ; ? ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Milner Motors Aircar ; Roadable aircraft ; 4 ; unflown ; ? ; ? km ; ? ; ? ; $450,000 US 
 Attila Melkuti AMV 211 AMV211 ; ? ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Carter PAVCarter Aviation 2+2PAV date=June 21, 2009  ; Autogyro ; 4 ; disp=tablecen ; ? km ; ? ; ? ; ? € 
 Cartivator Skydrive Cartivator Skydrive ; ? ; ? ; ? km/h ; ? ; ? km ; ? ; ? ; ? € 
 DARPA TX ; Roadable aircraft ; 4 ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 DM AeroSafe Eagle Aero-Cart ; VTOL aircraft ; 1 ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Peebles Fanwing Fanwing ; ? ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 GEN H-4 GEN H-4 reviewGEN Corporation website (English)GEN Corporation website (Japanese) ; Ultralight helicopter ; 1 ; disp=tablecen ; disp=tablecen ; Yes ; ¥7,500,000 
  Gress Aerospace PAV Gress aerospace PAV ; ?  ; ? ; ? km/h ; ? ; ? km ; ? ; ? ; ? € 
 BLI Helodyne ; VTOL aircraft ; 4 ; disp=tablecen ; disp=tablecen ; Yes ; $67,500 US 
 Entecho HoverpodEntecho hoverpod ; ? ; ? ; ? km/h ; ? ; ? km ; ? ; ? ; ? € 
 AVCEN Jetpod ; STOL aircraft ; ? ; unflown ; ? ; ? km ; ? ; ? ; n/a 
 Kitty Hawk Flyer ; VTOL aircraft ; ? ; ? km/h ; ?  ; ? km ; ? ; ? ; ? € 
 TAM Libelula  ; Backpack helicopter ; ? ; ? km/h ; ? ; ? km ; ? ; ? ; ? € 
 PAV-XPAV-X ; Ultralight Semi-Autonomous Drone  ; 1 ; disp=tablecen ; disp=tablecen ; ? ; €50,000 
 Lilium Jet ; VTOL ; 1 ; disp=tablecen ; disp=tablecen ; ? ; ? € 
 Mosquito XE/XELWorld Directory of Light Aviation 2013-2014, retrieved 23 December 2014 ; ultralight helicopter ; 1 ; disp=tablecen ; disp=tablecen ; ? ; €43,000 
 PAL-V gyrocopter ; autogyro ; 2 ; disp=tablecen ; disp=tablecen ; Yes ; €200,000 
 Kestel PAV ; ? ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Samson Skybike   ; Paramotor ; 1 ; ? km/h ; ? ; disp=tablecen ; ? ; $6,000 US 
 Moller Skycar ; VTOL aircraft ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Parajet Skycar ; Paramotor ; 2 ; disp=tablecen ; disp=tablecen ; Yes ; £50,000 
 Macro SkyRider X2R ; ? ; ? ; unflown ; ? ; ? km ; ? ; ? ; ? € 
 Butterfly Super Sky Cycle  ; Autogyro ; 1 ; disp=tablecen ; ? km ; ? ; ? ; ? € 
 Samson Switchblade ; Roadable aircraft ; 2 ; unflown ; ? ; disp=tablecen ; Yes ; $60,000 US (kit) 
 Terrafugia Transition ; Roadable aircraft ; 2 ; disp=tablecen ; disp=tablecen ; ? ; $194,000 US 
 VerdeGo Aero PAT200work= Aviation Week & Space Technologywork= Plane & pilot ; hybrid electric VTOL ; 2 pax/order=flip ; >6&nbsp,disp=tablecen ; disp=tablecen ; urban vertiports ; for operators 
 Xplorair PX200 ; VTOL aircraft ; 1 ; unflown ; ? ; disp=tablecen ; Yes ; $80,000 US 
