 ; ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C ; Numberspublisher=W3C 
 CSS2 ; number ; A floating-point number ; 3.0 ; 12 ; 1.0 ; 85 ; rowspan="4" yes ; 1.0 
 CSS2 ; length ; number followed by units ; 3.0 ; 12 ; 1.0 ; 85 ; 1.0 
 CSS2 ; percentage ; number followed by % ; 3.0 ; 12 ; 1.0 ; 85 ; 1.0 
 CSS2 ; integer ; An integer ; 3.0 ; 12 ; 1.0 ; 85 ; 1.0 
 css-values-3 ; angle ; number angle-unit ; 9.0 ; 12 ; yes ; Partial ; Partial ; Partial 
 css-values-3 ; time ; number time-unit ; 9.0 ; 12 ; 2.0 ; rowspan="2" yes ; rowspan="2" yes ; 2.5 
 css-values-3 ; frequency ; number frequency-unit ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no 
 css-values-3 ; fraction ; Remaining space ; no ; no 
 Strings ; Strings ; Strings ; Strings ; Strings ; Strings ; Strings ; Strings ; Strings 
 CSS2 ; string ; String ; 3.0 ; 12 ; 1.0 ; 85 ; rowspan="2" yes ; 1.0 
 CSS2 ; \code ; Unicode escapes ; 6.0 ; 12 ; 1.0 ; 85 ; 1.0 
 Functions ; Functions ; Functions ; Functions ; Functions ; Functions ; Functions ; Functions ; Functions 
 CSS2 ; rect() ; A rectangle ; 8.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; url() ; Uniform Resource Identifier ; 3.0 ; 12 ; 1.0 ; 85 ; rowspan="3" yes ; 1.0 
 CSS2 ; counter() ; ; 8.0 ; 12 ; 1.0 ; 85 ; 1.0 
 CSS2 ; attr() ; Attribute identifier ; 8.0 ; 12 ; 1.0 ; 85 ; 1.0 
 css-values-3 ; calc() ; ; 9.0 ; 12 ; 16.0publisher=Mozilla ; yespublisher=Webkit ; no ; no 
 css-values-3 ; toggle() ; Toggling between values ; no ; no ; nopublisher=Mozilla ; no ; no ; no 
 css-grid-1 ? ; repeat() ; Repeat n times ; no ; no ; 32.0publisher=Mozilla ; no ; no ; no 
 Colors ; Colors ; Colors ; Colors ; Colors ; Colors ; Colors ; Colors ; Colors 
 CSS2 ; HTML4 color keywords ; 16 predefined web colors ; 3.0 ; 12 ; 1.0 ; 85 ; rowspan="4" yes ; 1.0 
 CSS2 ; #rrggbb or #rgb ; Hexadecimal notation ; 3.0 ; 12 ; 1.0 ; 85 ; 1.0 
 CSS2 ; rgb(r, g, b) ; RGB notation ; 4.0 ; 12 ; 1.0 ; 85 ; 1.0 
 CSS2 ; system colorspublisher=W3C ; 28 predefined system colors ; 3.0 ; 12 ; 1.0 ; 85 ; 1.0 
 css-color-3 ; SVG color keywords ; ; 8.0 ; 12 ; yes ; yes ; yes ; yes 
 css-color-3 ; currentColor ; The value of the color property. ; 9.0 ; 12 ; 1.8 ; 528 ; yes ; 2.1 
 css-color-3 ; rgba(r, g, b, a) ; RGBA notation ; 9.0 ; 12 ; 1.9 ; 525 ; 4.0 ; 2.2 
