Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Webpages from Common Crawl 2012 ;Large collection of webpages and how they are connected via hyperlinks ;None. ;3.5B ;Text ;clustering, classification ;2013 ;Meusel, Robert, et al. "The Graph Structure in the Web—Analyzed on Different Aggregation Levels."The Journal of Web Science 1.1 (2015). ;V. Granville 
Internet Advertisements Dataset ;Dataset for predicting if a given image is an advertisement or not. ;Features encode geometry of ads and phrases occurring in the URL. ;3279 ;Text ;Classification ;1998 ;Kushmerick, Nicholas. "Learning to remove internet advertisements." Proceedings of the third annual conference on Autonomous Agents. ACM, 1999.Fradkin, Dmitriy, and David Madigan. "Experiments with random projections for machine learning."Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining. ACM, 2003. ;N. Kushmerick 
Internet Usage Dataset ;General demographics of internet users. ;None. ;10,104 ;Text ;Classification, clustering ;1999 ;This data was used in the American Statistical Association Statistical Graphics and Computing Sections 1999 Data Exposition. ;D. Cook 
URL Dataset ;120 days of URL data from a large conference. ;Many features of each URL are given. ;2,396,130 ;Text ;Classification ;2009 ;Ma, Justin, et al. "Identifying suspicious URLs: an application of large-scale online learning."Proceedings of the 26th annual international conference on machine learning. ACM, 2009.Levchenko, Kirill, et al. "Click trajectories: End-to-end analysis of the spam value chain." Security and Privacy (SP), 2011 IEEE Symposium on. IEEE, 2011. ;J. Ma 
Phishing Websites Dataset ;Dataset of phishing websites. ;Many features of each site are given. ;2456 ;Text ;Classification ;2015 ;Mohammad, Rami M., Fadi Thabtah, and Lee McCluskey. "An assessment of features related to phishing websites using an automated technique."Internet Technology And Secured Transactions, 2012 International Conference for. IEEE, 2012. ;R. Mustafa et al. 
Online Retail Dataset ;Online transactions for a UK online retailer. ;Details of each transaction given. ;541,909 ;Text ;Classification, clustering ;2015 ;Singh, Ashishkumar, et al. "Clustering Experiments on Big Transaction Data for Market Segmentation." Proceedings of the 2014 International Conference on Big Data Science and Computing. ACM, 2014. ;D. Chen 
Freebase Simple Topic Dump ;Freebase is an online effort to structure all human knowledge. ;Topics from Freebase have been extracted. ;large ;Text ;Classification, clustering ;2011 ;Bollacker, Kurt, et al. "Freebase: a collaboratively created graph database for structuring human knowledge." Proceedings of the 2008 ACM SIGMOD international conference on Management of data. ACM, 2008.Mintz, Mike, et al. "Distant supervision for relation extraction without labeled data." Proceedings of the Joint Conference of the 47th Annual Meeting of the ACL and the 4th International Joint Conference on Natural Language Processing of the AFNLP: Volume 2-Volume 2. Association for Computational Linguistics, 2009. ;Freebase 
Farm Ads Dataset ;The text of farm ads from websites. Binary approval or disapproval by content owners is given. ;SVMlight sparse vectors of text words in ads calculated. ;4143 ;Text ;Classification ;2011 ;Mesterharm, Chris, and Michael J. Pazzani. "Active learning using on-line algorithms."Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining. ACM, 2011. bibcode = 2013arXiv1303.4207W  ;C. Masterharm et al. 
