 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 dotted=no ; order ; 11.0 ; 12 ; 22.0 ; 9.0publisher=MDN ; 2.12 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Regions ; Regions ; Regions ; Regions ; Regions ; Regions ; Regions ; Regions 
 dotted=no 
 dotted=no ; flow-into ; 10.0 ; 12 ; rowspan="6" nopublisher=Mozilla ; rowspan="6" nightly ; rowspan="6" no ; rowspan="6" no 
 dotted=no ; flow-from ; 10.0 ; 12 
 dotted=no ; region-fragment ; no ; no 
 dotted=no ; break-before ; No ; rowspan="3" no 
 dotted=no ; break-after ; No 
 dotted=no ; break-inside ; No 
 Exclusions ; Exclusions ; Exclusions ; Exclusions ; Exclusions ; Exclusions ; Exclusions ; Exclusions 
 dotted=no 
 dotted=no ; wrap-flow ; 10.0 ; 12 ; rowspan="2" nopublisher=Mozilla ; rowspan="2" nightly ; rowspan="2" no ; rowspan="2" no 
 dotted=no ; wrap-through ; 10.0 ; 12 
 Shapes ; Shapes ; Shapes ; Shapes ; Shapes ; Shapes ; Shapes ; Shapes 
 dotted=no 
 dotted=no ; shape-margin ; rowspan="3" no ; rowspan="3" no ; rowspan="3" no ; nightly ; rowspan="3" no ; rowspan="3" no 
 dotted=no ; shape-outside ; rowspan="2" no 
 dotted=no ; shape-image-threshold 
 Masking ; Masking ; Masking ; Masking ; Masking ; Masking ; Masking ; Masking 
 CSS2 ; clip ; 8.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 dotted=no 
 dotted=no ; clip-path ; rowspan="2" no ; rowspan="2" no ; 1.9.1 ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no 
 dotted=no ; clip-rule ; no 
 dotted=no ; mask ; no ; no ; partial ; partial ; partial ; partial 
 dotted=no ; mask-box-image ; rowspan="6" no ; rowspan="6" no ; rowspan="6" no ; table-experimental ; rowspan="6" no ; rowspan="6" no 
 dotted=no ; mask-box-image-outset ; rowspan="5" no 
 dotted=no ; mask-box-image-repeat   
 dotted=no ; mask-box-image-slice 
 dotted=no ; mask-box-image-source 
 dotted=no ; mask-box-image-width 
 dotted=no ; mask-clip ; rowspan="7" no ; rowspan="7" no ; rowspan="6" no ; rowspan="6" table-experimental ; rowspan="7" no ; rowspan="7" no 
 dotted=no ; mask-image 
 dotted=no ; mask-origin 
 dotted=no ; mask-position 
 dotted=no ; mask-repeat 
 dotted=no ; mask-size 
 dotted=no ; mask-type ; 20.0 ; no 
 Compositing and Blending ; Compositing and Blending ; Compositing and Blending ; Compositing and Blending ; Compositing and Blending ; Compositing and Blending ; Compositing and Blending ; Compositing and Blending 
 dotted=no 
 dotted=no ; mix-blend-mode ; rowspan="3" no  ; rowspan="3" no  ; 32.0 ; rowspan="3" no  ; rowspan="3" no ; rowspan="3" no 
 dotted=no ; isolation ; 36.0 
 dotted=no ; background-blend-mode ; 30.0 
 Filter Effects ; Filter Effects ; Filter Effects ; Filter Effects ; Filter Effects ; Filter Effects ; Filter Effects ; Filter Effects 
 dotted=no 
 dotted=no ;  filter ; rowspan="5" no ; 13 ; 35.0publisher=Mozilla ; 18.0publisher=MDN ; rowspan="5" no ; rowspan="5" no 
 dotted=no ; flood-color ; rowspan="4" no  ; rowspan="4" no  ; rowspan="4" no  
 dotted=no ; flood-opacity 
 dotted=no ; color-interpolation-filters 
 dotted=no ; lighting-color 
 Pointer events ; Pointer events ; Pointer events ; Pointer events ; Pointer events ; Pointer events ; Pointer events ; Pointer events 
 [http://www.w3.org/TR/SVG11/interact.html#PointerEventsProperty dotted=no] andearlierdraft ofcss3-ui ;  pointer-events ; 11.0 ; 12.0 ; 1.9.2  ; 530  ; no  ; 2.0  
 dotted=no ;  touch-action ; 11.0 ; 12.0 ; 29.0publisher=Mozilla ; no  ; no  ; no  
 Line Grid ; Line Grid ; Line Grid ; Line Grid ; Line Grid ; Line Grid ; Line Grid ; Line Grid 
 dotted=no 
 dotted=no ;  box-snap ; rowspan="4" no ; rowspan="4" no ; rowspan="4" no  ; rowspan="4" no  ; rowspan="4" no ; rowspan="4" no 
 dotted=no ;  line-grid 
 dotted=no ;  line-slack 
 dotted=no ;  line-snap 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Logical Properties ; Logical Properties ; Logical Properties ; Logical Properties ; Logical Properties ; Logical Properties ; Logical Properties ; Logical Properties 
 dotted=no 
 dotted=no ;  block-size ; rowspan="36" no ; rowspan="36" no  ; 41.0publisher=Mozilla ; rowspan="36" no  ; rowspan="36" no ; rowspan="36" no 
 dotted=no ;  inline-size ; 41.0publisher=Mozilla 
 dotted=no ;  min-block-size ; 41.0publisher=Mozilla 
 dotted=no ;  min-inline-size ; 41.0publisher=Mozilla 
 dotted=no ;  max-block-size ; 41.0publisher=Mozilla 
 dotted=no ;  max-inline-size ; 41.0publisher=Mozilla 
 dotted=no ;  margin-block-start ; 41.0publisher=Mozilla 
 dotted=no ;  margin-block-end ; 41.0publisher=Mozilla 
 dotted=no ;  margin-inline-start ; 41.0publisher=Mozilla 
 dotted=no ;  margin-inline-end ; 41.0publisher=Mozilla 
 dotted=no ;  offset-block-start ; 41.0publisher=Mozilla 
 dotted=no ;  offset-block-end ; 41.0publisher=Mozilla 
 dotted=no ;  offset-inline-start ; 41.0publisher=Mozilla 
 dotted=no ;  offset-inline-end ; 41.0publisher=Mozilla 
 dotted=no ;  padding-block-start ; 41.0publisher=Mozilla 
 dotted=no ;  padding-block-end ; 41.0publisher=Mozilla 
 dotted=no ;  padding-inline-start ; 41.0publisher=Mozilla 
 dotted=no ;  padding-inline-end ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-start-width ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-end-width ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-start-width ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-end-width ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-start-style ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-end-style ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-start-style ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-end-style ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-start-color ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-end-color ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-start-color ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-end-color ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-start ; 41.0publisher=Mozilla 
 dotted=no ;  border-block-end ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-start ; 41.0publisher=Mozilla 
 dotted=no ;  border-inline-end ; 41.0publisher=Mozilla 
 dotted=no ;  background-image-transform ; rowspan="2" no  
 dotted=no ;  border-image-transform 
 Will Change ; Will Change ; Will Change ; Will Change ; Will Change ; Will Change ; Will Change ; Will Change 
 [https://www.w3.org/TR/css-will-change-1/ dotted=no] ; will-change ; no ; no ; 36.0 ; no ; no ; no 
 CSSOM View ; CSSOM View ; CSSOM View ; CSSOM View ; CSSOM View ; CSSOM View ; CSSOM View ; CSSOM View 
 [https://www.w3.org/TR/cssom-view/ dotted=no] ; scroll-behavior (optionalThe cssom-view specification of this property says that “[u]ser agents may ignore this property.”) ; no ; no ; 36.0 ; no ; no ; no 
 Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points ; Scroll Snap Points 
 dotted=no ; scroll-snap-type ; 10.0 ; 12 ; 39.0publisher=Mozilla ; rowspan="5" no ; rowspan="5" no ; rowspan="5" no 
 dotted=no ; scroll-snap-points-x ; 10.0 ; 12 ; 39.0publisher=Mozilla 
 dotted=no ; scroll-snap-points-y ; 10.0 ; 12 ; 39.0publisher=Mozilla 
 dotted=no ; scroll-snap-destination	 ; 10.0 ; 12 ; 39.0publisher=Mozilla 
 dotted=no ; scroll-snap-coordinate ; 10.0 ; 12 ; 39.0publisher=Mozilla 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
