 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 CSS2 ; z-index ; 8.0 ; 12 ; 1.9 ; 85 ; yes ; 1.0 
 Box Alignment Module ; Box Alignment Module ; Box Alignment Module ; Box Alignment Module ; Box Alignment Module ; Box Alignment Module ; Box Alignment Module ; Box Alignment Module 
 dotted=no 
 dotted=no ; align-content ; 11.0     ; 12     ; 28.0 ; rowspan="4" table-experimental ; rowspan="6" no ; rowspan="6" no 
 dotted=no ;  align-items ; 11.0     ; 12     ; 20.0 
 dotted=no ; align-self ; 11.0     ; 12     ; 20.0 
 dotted=no ; justify-content ; 11.0     ; 12     ; 20.0 
 dotted=no ; justify-items ; rowspan="2" no   ; 12     ; rowspan="2" no ; rowspan="2" no 
 dotted=no ; justify-self ; 12     
 Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C ; Generated and Replaced Contentpublisher=W3C 
 CSS2 ; quotes ; 8.0 ; 12     ; yes ; 412publisher=Webkit ; 3.4 ; 1.0 
 CSS2 ; content ; 9.0url-status=dead  ; 12     ; 1.9 ; Partial ; yes ; 2.7 
 CSS2 ; counter-increment ; 8.0 ; 12     ; 1.8 ; 525 ; 3.4 ; 1.0 
 CSS2 ; counter-reset ; 8.0 ; 12     ; 1.8 ; 525 ; 3.4 ; 1.0 
 Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C ; Listspublisher=W3C 
 CSS2 ; list-style ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; list-style-image ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; list-style-position ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; list-style-type ; 8.0 ; 12 ; 1.0 ; 85 ; 3.4 ; 1.0 
 Colors ; Colors ; Colors ; Colors ; Colors ; Colors ; Colors ; Colors 
 CSS2 ; color ; 3.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 dotted=no ; opacity ; 9.0 ;  12 ; 1.7 ; 125 ; 4.0 ; 2.0 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Backgrounds ; Backgrounds ; Backgrounds ; Backgrounds ; Backgrounds ; Backgrounds ; Backgrounds ; Backgrounds 
 CSS2 ; background ; 4.0 ; 12    ; 1.0 ; 85 ; rowspan="6" yes ; 1.0 
 CSS2 ; background-attachment ; 7.0 ; 12    ; 1.0 ; 85 ; 1.0 
 CSS2 ; background-color ; 4.0 ; 12    ; 1.0 ; 85 ; 1.0 
 CSS2 ; background-image ; 8.0 ; 12    ; 1.0 ; 85 ; 1.0 
 CSS2 ; background-position ; 8.0 ; 12    ; 1.0 ; 85 ; 1.0 
 CSS2 ; background-repeat ; 4.0 ; 12    ; 1.0 ; 85 ; 1.0 
 dotted=no ; background (multiple) ; 9.0 ; 12 ; 1.9.2 ; 312 ; 3.5 ; 2.5 
 dotted=no ; background-clip ; 9.0 ; 12 ; 2.0publisher=Mozilla ; rowspan="2" yespublisher=WebKit ; Experimental ; 2.5 
 dotted=no ; background-origin ; 9.0 ; 12 ; 2.0publisher=Mozilla ; Experimental ; 2.5 
 dotted=no ; background-size ; 9.0 ; 12 ; 2.0publisher=Mozilla ; yespublisher=WebKit ; Experimental ; 2.5 
 dotted=no ; background-position-x ; 8.0 ; 12 ; rowspan="2" no ; Experimental ; rowspan="2" no ; rowspan="2" no 
 dotted=no ; background-position-y ; 8.0 ; 12 ; Experimental 
 Fonts ; Fonts ; Fonts ; Fonts ; Fonts ; Fonts ; Fonts ; Fonts 
 CSS2 ; font ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; Incorrect 
 CSS2 ; font-family ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; font-size ; 3.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; font-style ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; font-variant ; 4.0 ; 12 ; 1.0 ; 125 ; yes ; 1.0 
 CSS2 ; font-weight ; 8.0 ; 12 ; Partial ; Partial ; yes ; Incorrect 
 dotted=no ; font-size-adjust ; 10.0 ; 12 ; 1.9 ; nopublisher=Webkit ; no ; no 
 dotted=no ; font-stretch ; 9.0 ; 12 ; 9.0publisher=Mozilla ; nopublisher=Webkit ; no ; no 
 dotted=no ; font-feature-settings ; 10.0 ; 12 ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla ; nopublisher=Webkit ; no ; no 
 dotted=no ; font-kerning ; no ; rowspan="9" no    ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla ; no ; no ; no 
 dotted=no ; font-language-override ; no ; no ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla ; no ; no 
 dotted=no ; font-synthesis ; no ; no ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla ; no ; no 
 dotted=no ; font-variant-alternates  ; rowspan="6" no ; rowspan="6" no ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla ; rowspan="6" no ; rowspan="6" no 
 dotted=no ; font-variant-caps  ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla 
 dotted=no ; font-variant-east-asian  ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla 
 dotted=no ; font-variant-ligatures ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla 
 dotted=no ; font-variant-numeric ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla 
