 ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto ; iCab 
 rh| Mouse ; rh| Mouse ; rh| Mouse ; rh| Mouse ; rh| Mouse ; rh| Mouse ; rh| Mouse ; rh| Mouse 
 onclick ; rowspan="7" Dunno ; rowspan="7" Dunno ; rowspan="7" Dunno ; rowspan="7" Dunno ; rowspan="7" Dunno ; rowspan="7" Dunno ; rowspan="7" Dunno 
 ondblclick 
 onmousedown 
 onmouseup 
 onmouseover 
 onmousemove 
 onmouseout 
 rh| Keyboard ; rh| Keyboard ; rh| Keyboard ; rh| Keyboard ; rh| Keyboard ; rh| Keyboard ; rh| Keyboard ; rh| Keyboard 
 onkeypress ; rowspan="3" Dunno ; rowspan="3" Dunno ; rowspan="3" Dunno ; rowspan="3" Dunno ; rowspan="3" Dunno ; rowspan="3" Dunno ; rowspan="3" Dunno 
 onkeydown 
 onkeyup 
