 Maker ; Model ; Intro year ; End year ; Screen size (inch) ; Self-lit ; Screen type ; Screen model ; Weight ; Screen pixels ; Touch screen ; Wireless network ; Text-to-speech ; Folders ; Internal Storage ; Micro SDHC ; Web browser ; Library DRM compatible ; USB peripherals 
 Kobo Inc. ; Kobo Glo ; 2012 ; 2015 ; 6in ; Yes ; eInk Pearl ;  ; 185g (6.5oz) ; 758 × 1024 ; Yes ; Wi-Fi ; No ; shelves ; 2 GB ; yes ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo Mini ; 2012 ; 2014 ; 5in ; No ; eInk Vizplex ;  ; 134g (4.7oz) ; 600 × 800  ; Yes ; Wi-Fi ; No ; shelves ; 2 GB ; No ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo Touch ; 2011 ; 2013 ; 6in ; No ; eInk Pearl ;  ; 200g (7.1oz) ; 600 × 800 ; Yes ; Wi-Fi ; No ; shelves ; 2 GB ; Yes ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo eReader Wireless  ; 2010 ; 2011 ; 6in ; No ; eInk ;  ; 221g (7.8oz) ; 600 × 800 ; No ; Wi-Fi ; No ; Unknown ; 1 GB ; SD  4 GB ; No ; Yes ; Unknown 
 Kobo Inc. ; Kobo eReader  ; 2010 ; 2011 ; 6in ; No ; eInk ;  ; 221g (7.8oz) ; 600 × 800 ; No ; Bluetooth ; No ; Unknown ; 1 GB ; SD ; Yes ; Yes ; Unknown 
 Kogan.com ; Kogan eBook Reader ; 2010 ; ? ; 6in ; No ; eInk ;  ; 228g (8.0oz) ; 600 × 800 ; No ; No ; No ; Yes ; 2 GB ; SDHC ; No ; Unknown ; Unknown 
 Kyobo Inc. ; Kyobo E-reader Mirasol ; 2011 ; 2012 ; 5.7in ; No ; Mirasol ;  ; 294g (10.4oz) ; 768 × 1024 ; Yes ; Wi-Fi ; Yes ; Unknown ; Unknown GB ; SDHC ; Yes ; Unknown ; Yes 
 Onyx Inc. ; BOOX A60/62 ; 2009 ; 2012 ; 6in ; No ; eink ;  ; 298g ; 600x800 ; Yes ; Wi-Fi ; Yes ; Yes ; 512 MB ; SDHC ; Yes ; No ; Yes 
 Onyx Inc. ; BOOX X60/60S ; 2010 ; 2011 ; 6in ; No ; eInk ;  ; 298g (10.5oz) ; 600 × 800 ; Yes ; Wi-Fi ; Yes ; Yes ; 512 MB ; SDHC ; Yes ; No ; Yes 
 Onyx Inc. ; BOOX M90/M90S ; 2010 ; 2011 ; 9.7in ; No ; eInk Pearl ;  ; 275g (9.7oz) ; 600 × 800 ; Yes ; Wi-Fi ; Yes ; Yes ; 2 GB ; SDHC ; Yes ; No ; Yes 
